method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,bracket_white/test/defective_painting/000.png,1,abnormal_normal,32x32,3,1021,0.010490047271991921,0.0,0.0024426281452178955,0.006912857294082642,0.014924556016921997,0.031778484582901,0.0,0.0860261619091034
A1_G,0,bracket_white/test/defective_painting/000.png,1,defect,32x32,3,3,0.006595134735107422,0.005583846569061279,0.006241500377655029,0.007063567638397217,0.007182985544204712,0.007278519868850708,0.005419433116912842,0.007302403450012207
A1_G,0,bracket_white/test/defective_painting/000.png,1,clean_defect,32x32,3,0,,,,,,,,
A1_G,0,bracket_white/test/defective_painting/000.png,1,boundary,32x32,3,3,0.006595134735107422,0.005583846569061279,0.006241500377655029,0.007063567638397217,0.007182985544204712,0.007278519868850708,0.005419433116912842,0.007302403450012207
A1_G,1,bracket_white/test/defective_painting/001.png,1,abnormal_normal,32x32,3,1021,0.010625790487190418,9.968876838684082e-05,0.002622246742248535,0.006839543581008911,0.015378832817077637,0.030871719121932983,0.0,0.07362622022628784
A1_G,1,bracket_white/test/defective_painting/001.png,1,defect,32x32,3,3,0.008512556552886963,0.0021892040967941284,0.004454717040061951,0.0072866082191467285,0.011957421898841858,0.01569407284259796,0.0016228258609771729,0.016628235578536987
A1_G,1,bracket_white/test/defective_painting/001.png,1,clean_defect,32x32,3,0,,,,,,,,
A1_G,1,bracket_white/test/defective_painting/001.png,1,boundary,32x32,3,3,0.008512556552886963,0.0021892040967941284,0.004454717040061951,0.0072866082191467285,0.011957421898841858,0.01569407284259796,0.0016228258609771729,0.016628235578536987
A1_G,2,bracket_white/test/defective_painting/002.png,1,abnormal_normal,32x32,3,1021,0.011913336776963176,0.0003103911876678467,0.0031883716583251953,0.007597088813781738,0.01658812165260315,0.03902482986450195,0.0,0.09170180559158325
A1_G,2,bracket_white/test/defective_painting/002.png,1,defect,32x32,3,3,0.016537249088287354,0.011689579486846924,0.01396268606185913,0.01680406928062439,0.019245222210884094,0.021198144555091857,0.011121302843093872,0.0216863751411438
A1_G,2,bracket_white/test/defective_painting/002.png,1,clean_defect,32x32,3,0,,,,,,,,
