method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,metal_plate/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,1,metal_plate/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,2,metal_plate/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,3,metal_plate/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,4,metal_plate/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,5,metal_plate/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,6,metal_plate/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,7,metal_plate/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,8,metal_plate/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,9,metal_plate/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,10,metal_plate/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,11,metal_plate/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,12,metal_plate/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,13,metal_plate/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,14,metal_plate/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,15,metal_plate/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,16,metal_plate/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,17,metal_plate/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,metal_plate/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,metal_plate/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,metal_plate/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,metal_plate/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,metal_plate/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,metal_plate/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,metal_plate/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,metal_plate/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,metal_plate/test/major_rust/000.png,4096,3786,3789,43,46,3743,264,0,0,0.92431640625,0.925048828125,0.010498046875,0.01123046875
A1,image,27,metal_plate/test/major_rust/001.png,4096,3705,3677,78,50,3627,341,0,0,0.904541015625,0.897705078125,0.01904296875,0.01220703125
A1,image,28,metal_plate/test/major_rust/002.png,4096,3728,3696,62,30,3666,338,0,0,0.91015625,0.90234375,0.01513671875,0.00732421875
A1,image,29,metal_plate/test/major_rust/003.png,4096,3934,3938,13,17,3921,145,0,0,0.96044921875,0.96142578125,0.003173828125,0.004150390625
A1,image,30,metal_plate/test/major_rust/004.png,4096,3645,3632,62,49,3583,402,0,0,0.889892578125,0.88671875,0.01513671875,0.011962890625
A1,image,31,metal_plate/test/major_rust/005.png,4096,3534,3522,60,48,3474,514,0,0,0.86279296875,0.85986328125,0.0146484375,0.01171875
A1,image,32,metal_plate/test/major_rust/006.png,4096,3932,3929,14,11,3918,153,0,0,0.9599609375,0.959228515625,0.00341796875,0.002685546875
A1,image,33,metal_plate/test/major_rust/007.png,4096,4002,3989,25,12,3977,82,0,0,0.97705078125,0.973876953125,0.006103515625,0.0029296875
A1,image,34,metal_plate/test/major_rust/008.png,4096,3940,3944,27,31,3913,125,0,0,0.9619140625,0.962890625,0.006591796875,0.007568359375
A1,image,35,metal_plate/test/major_rust/009.png,4096,3837,3785,65,13,3772,246,0,0,0.936767578125,0.924072265625,0.015869140625,0.003173828125
A1,image,36,metal_plate/test/major_rust/010.png,4096,3787,3764,59,36,3728,273,0,0,0.924560546875,0.9189453125,0.014404296875,0.0087890625
