config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.014749563299119473,0.019011689350008965,0.19923782348632812,0.9999381922468354,0.03605608642101288,-0.031299665570259094,300,0.01894824579358101,-0.014687959104776382,80596
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.014876295812427998,0.019070973619818687,0.19409340620040894,0.9982075751582279,0.034991178661584854,-0.028410015627741814,300,0.019011713564395905,-0.014825919643044472,80596
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.014510327950119972,0.018643513321876526,0.17105787992477417,0.9986525909810127,0.032145220786333084,-0.025051197037100792,300,0.018593257293105125,-0.01447109505534172,80596
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.01375843770802021,0.017568616196513176,0.19781461358070374,0.9999381922468354,0.03325897827744484,-0.028647009283304214,300,0.01751021109521389,-0.013703016564249992,80596
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.014166544191539288,0.017840635031461716,0.19409340620040894,0.9977007515822784,0.03067111410200596,-0.024036893621087074,300,0.017792874947190285,-0.014129805378615856,80596
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.013920984230935574,0.017603836953639984,0.17105787992477417,0.9983929984177216,0.028598187491297722,-0.021426944062113762,300,0.01756291277706623,-0.013893046416342258,80596
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.049399152398109436,0.04952456057071686,0.2126556932926178,0.9999876384493671,0.0558902733027935,-0.055854059755802155,300,0.04950086399912834,-0.049375128000974655,80596
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.049671631306409836,0.0497787706553936,0.21274076402187347,0.9975647745253164,0.054554928094148636,-0.054554928094148636,300,0.04976099729537964,-0.04965345561504364,80596
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.04781318083405495,0.047956682741642,0.21150247752666473,0.9981210443037974,0.05797257274389267,-0.057873815298080444,300,0.04791940376162529,-0.04777573421597481,80596
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.012023917399346828,0.015862183645367622,0.13282521069049835,0.9999505537974683,0.026749804615974426,-0.02316846139729023,300,0.015821654349565506,-0.011982433497905731,80596
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.012361067347228527,0.015972640365362167,0.12960821390151978,0.9978120055379747,0.026617836207151413,-0.021184206008911133,300,0.015933014452457428,-0.012328226119279861,80596
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.012102336622774601,0.015723099932074547,0.12005024403333664,0.9986402294303798,0.024264510720968246,-0.018477819859981537,300,0.015691306442022324,-0.01207860466092825,80596
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.06328397989273071,0.06341391801834106,0.2820112705230713,0.9999876384493671,0.07233799248933792,-0.07233799248933792,300,0.06338070333003998,-0.06325028836727142,80596
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.0636879950761795,0.06380633264780045,0.28607648611068726,0.9978243670886076,0.07109064608812332,-0.07109064608812332,300,0.06377922743558884,-0.06366043537855148,80596
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.06122641637921333,0.06138021871447563,0.27202168107032776,0.9984177215189873,0.07431014627218246,-0.07429106533527374,300,0.0613320954144001,-0.06117779016494751,80596
