method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,connector/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,1,connector/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,2,connector/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,3,connector/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,4,connector/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,5,connector/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,6,connector/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,7,connector/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,8,connector/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,9,connector/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,10,connector/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,11,connector/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,12,connector/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,13,connector/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,14,connector/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,15,connector/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,16,connector/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,17,connector/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,connector/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,connector/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,connector/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,connector/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,connector/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,connector/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,connector/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,connector/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,connector/test/good/026.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,27,connector/test/good/027.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,28,connector/test/good/028.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,29,connector/test/good/029.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,30,connector/test/parts_mismatch/000.png,2112,2016,2001,29,14,1987,82,0,0,0.9545454545454546,0.9474431818181818,0.013731060606060606,0.006628787878787879
A1,image,31,connector/test/parts_mismatch/001.png,1728,1664,1654,32,22,1632,42,0,0,0.9629629629629629,0.9571759259259259,0.018518518518518517,0.01273148148148148
A1,image,32,connector/test/parts_mismatch/002.png,1984,1811,1811,24,24,1787,149,0,0,0.9128024193548387,0.9128024193548387,0.012096774193548387,0.012096774193548387
A1,image,33,connector/test/parts_mismatch/003.png,1984,1892,1843,72,23,1820,69,0,0,0.9536290322580645,0.9289314516129032,0.036290322580645164,0.011592741935483871
A1,image,34,connector/test/parts_mismatch/004.png,1792,1684,1680,41,37,1643,71,0,0,0.9397321428571429,0.9375,0.022879464285714284,0.020647321428571428
A1,image,35,connector/test/parts_mismatch/005.png,1600,1524,1498,42,16,1482,60,0,0,0.9525,0.93625,0.02625,0.01
A1,image,36,connector/test/parts_mismatch/006.png,1792,1620,1628,31,39,1589,133,0,0,0.9040178571428571,0.9084821428571429,0.017299107142857144,0.021763392857142856
A1,image,37,connector/test/parts_mismatch/007.png,1536,1381,1332,65,16,1316,139,0,0,0.8990885416666666,0.8671875,0.042317708333333336,0.010416666666666666
