method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9176366561773988,0.06244039287976968,0.702865761689291,0.7806819721540428,0.8360655737704918
S,0.952153936453866,0.05929408389754649,0.6312217194570136,0.7587015995491125,0.823529411764706
C,0.9317764209567845,0.03274997124456143,0.6990950226244345,0.7638479581731701,0.8292682926829268
A1_J,0.928524256773841,0.05262149432481069,0.7081447963800905,0.7948090997139764,0.8448275862068965
TRI_J,0.9404536041472292,0.0563203645579292,0.7119155354449472,0.8030351804441611,0.8360655737704918
BAL_J,0.9399738051803654,0.05176675217081517,0.7126696832579186,0.7932969895997993,0.8376068376068376
DUP_J,0.9246699187679339,0.05729067598087289,0.7088989441930618,0.7997156448749606,0.8305084745762712
DUP_BAL_J,0.928524256773841,0.05262149432481069,0.7081447963800905,0.7948090997139764,0.8448275862068965
DUP_EXPECTED_J,0.9246699187679339,0.05729067598087289,0.7088989441930618,0.7997156448749606,0.8305084745762712
A1_L,0.9348117966913289,0.05587449980425006,0.7126696832579186,0.7930770253128214,0.8421052631578947
DUP_L,0.9287193145196087,0.05913722590533073,0.7104072398190044,0.7854108639834733,0.8448275862068965
TRI_L,0.946420218688045,0.05948769468920321,0.6794871794871795,0.7759657915111832,0.8275862068965518
BAL_L,0.9473970898421487,0.05559756889063542,0.6923076923076923,0.7843046076144138,0.8403361344537814
