method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,tubes/test/anomalous/000.png,1536,1527,1525,2,0,1525,9,0,0,0.994140625,0.9928385416666666,0.0013020833333333333,0.0
A1,image,1,tubes/test/anomalous/001.png,1408,1369,1375,1,7,1368,32,0,0,0.9723011363636364,0.9765625,0.0007102272727272727,0.004971590909090909
A1,image,2,tubes/test/anomalous/002.png,1408,1370,1377,7,14,1363,24,0,0,0.9730113636363636,0.9779829545454546,0.004971590909090909,0.009943181818181818
A1,image,3,tubes/test/anomalous/003.png,1408,1364,1358,21,15,1343,29,0,0,0.96875,0.9644886363636364,0.014914772727272728,0.01065340909090909
A1,image,4,tubes/test/anomalous/004.png,1344,1311,1296,17,2,1294,31,0,0,0.9754464285714286,0.9642857142857143,0.012648809523809524,0.001488095238095238
A1,image,5,tubes/test/anomalous/005.png,1344,1340,1334,6,0,1334,4,0,0,0.9970238095238095,0.9925595238095238,0.004464285714285714,0.0
A1,image,6,tubes/test/anomalous/006.png,1024,1002,994,11,3,991,19,0,0,0.978515625,0.970703125,0.0107421875,0.0029296875
A1,image,7,tubes/test/anomalous/007.png,1344,1271,1248,29,6,1242,67,0,0,0.9456845238095238,0.9285714285714286,0.021577380952380952,0.004464285714285714
A1,image,8,tubes/test/anomalous/008.png,1216,1126,1121,15,10,1111,80,0,0,0.9259868421052632,0.921875,0.012335526315789474,0.008223684210526315
A1,image,9,tubes/test/anomalous/009.png,1344,1281,1280,7,6,1274,57,0,0,0.953125,0.9523809523809523,0.005208333333333333,0.004464285714285714
A1,image,10,tubes/test/anomalous/010.png,1280,1251,1240,14,3,1237,26,0,0,0.97734375,0.96875,0.0109375,0.00234375
A1,image,11,tubes/test/anomalous/011.png,1280,1271,1267,4,0,1267,9,0,0,0.99296875,0.98984375,0.003125,0.0
A1,image,12,tubes/test/anomalous/012.png,1344,1328,1330,2,4,1326,12,0,0,0.9880952380952381,0.9895833333333334,0.001488095238095238,0.002976190476190476
A1,image,13,tubes/test/anomalous/013.png,576,546,548,4,6,542,24,0,0,0.9479166666666666,0.9513888888888888,0.006944444444444444,0.010416666666666666
A1,image,14,tubes/test/anomalous/014.png,704,698,697,2,1,696,5,0,0,0.9914772727272727,0.9900568181818182,0.002840909090909091,0.0014204545454545455
A1,image,15,tubes/test/anomalous/015.png,768,751,759,3,11,748,6,0,0,0.9778645833333334,0.98828125,0.00390625,0.014322916666666666
A1,image,16,tubes/test/anomalous/016.png,768,744,742,4,2,740,22,0,0,0.96875,0.9661458333333334,0.005208333333333333,0.0026041666666666665
A1,image,17,tubes/test/anomalous/017.png,576,561,546,15,0,546,15,0,0,0.9739583333333334,0.9479166666666666,0.026041666666666668,0.0
A1,image,18,tubes/test/anomalous/018.png,576,566,557,9,0,557,10,0,0,0.9826388888888888,0.9670138888888888,0.015625,0.0
A1,image,19,tubes/test/anomalous/019.png,1280,1193,1179,32,18,1161,69,0,0,0.93203125,0.92109375,0.025,0.0140625
A1,image,20,tubes/test/anomalous/020.png,1152,1062,1029,38,5,1024,85,0,0,0.921875,0.8932291666666666,0.03298611111111111,0.004340277777777778
