method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,tubes/test/anomalous/000.png,1,abnormal_normal,32x32,10,1000,0.009308599382638932,0.00013716965913772587,0.0024544820189476013,0.006552889943122864,0.013367176055908203,0.02712736725807189,0.0,0.06721824407577515
A1_G,0,tubes/test/anomalous/000.png,1,defect,32x32,10,24,0.013149190694093704,0.003450308740139008,0.008883096277713776,0.014148086309432983,0.017239294946193695,0.019609214365482328,0.0007445812225341797,0.02320834994316101
A1_G,0,tubes/test/anomalous/000.png,1,clean_defect,32x32,10,14,0.015656313725880215,0.006953383982181549,0.014270693063735962,0.017005622386932373,0.018005453050136566,0.020899052917957305,0.005788981914520264,0.02320834994316101
A1_G,0,tubes/test/anomalous/000.png,1,boundary,32x32,10,10,0.00963921844959259,0.001776440441608429,0.008097700774669647,0.01006394624710083,0.01340164989233017,0.014769619703292847,0.0007445812225341797,0.014837801456451416
A1_G,1,tubes/test/anomalous/001.png,1,abnormal_normal,32x32,10,1002,0.00883271397944696,6.241351366043092e-05,0.0023622214794158936,0.006144866347312927,0.012251585721969604,0.026648373901844016,0.0,0.07837963104248047
A1_G,1,tubes/test/anomalous/001.png,1,defect,32x32,10,22,0.012674377723173662,0.003910520672798156,0.006774820387363434,0.009452342987060547,0.016083553433418274,0.029449199140071866,0.003351747989654541,0.03547576069831848
A1_G,1,tubes/test/anomalous/001.png,1,clean_defect,32x32,10,12,0.016656773785750072,0.006812380254268646,0.008204512298107147,0.015782564878463745,0.02008242905139923,0.03224710524082183,0.006743520498275757,0.03547576069831848
A1_G,1,tubes/test/anomalous/001.png,1,boundary,32x32,10,10,0.00789550244808197,0.003595641255378723,0.004465319216251373,0.007828131318092346,0.009453296661376953,0.013933567702770232,0.003351747989654541,0.014477372169494629
A1_G,2,tubes/test/anomalous/002.png,1,abnormal_normal,32x32,9,1002,0.00876203604682001,0.0,0.0022220760583877563,0.006192415952682495,0.012431196868419647,0.026017782092094415,0.0,0.052957743406295776
A1_G,2,tubes/test/anomalous/002.png,1,defect,32x32,9,22,0.01300816373391585,0.0025017112493515015,0.005647145211696625,0.011051148176193237,0.019301600754261017,0.02889824062585831,0.0,0.030150800943374634
A1_G,2,tubes/test/anomalous/002.png,1,clean_defect,32x32,9,13,0.013402792123647837,0.0028927266597747804,0.007017403841018677,0.011848658323287964,0.01937812566757202,0.025753384828567497,0.0025252103805541992,0.028922736644744873
A1_G,2,tubes/test/anomalous/002.png,1,boundary,32x32,9,9,0.012438144948747423,0.001000189781188965,0.0028119683265686035,0.008460700511932373,0.019072026014328003,0.0294636070728302,0.0,0.030150800943374634
A1_G,3,tubes/test/anomalous/003.png,1,abnormal_normal,32x32,9,1002,0.008953342121280359,0.0,0.0020653754472732544,0.005673840641975403,0.012126587331295013,0.028487466275691983,0.0,0.0985841155052185
A1_G,3,tubes/test/anomalous/003.png,1,defect,32x32,9,22,0.011754655025222084,0.0011035054922103882,0.006409361958503723,0.009907841682434082,0.018451012670993805,0.0249524250626564,0.0,0.025372564792633057
A1_G,3,tubes/test/anomalous/003.png,1,clean_defect,32x32,9,13,0.011987303312008198,0.003456652164459229,0.007063060998916626,0.010483205318450928,0.013792306184768677,0.024272662401199338,0.0,0.025014221668243408
A1_G,3,tubes/test/anomalous/003.png,1,boundary,32x32,9,9,0.011418607499864366,0.0014098584651947021,0.0041237473487854,0.009118914604187012,0.020003914833068848,0.023832857608795166,0.0010597407817840576,0.025372564792633057
A1_G,4,tubes/test/anomalous/004.png,1,abnormal_normal,32x32,9,1003,0.009545661635318045,0.0,0.0019835084676742554,0.006025075912475586,0.01336584985256195,0.03143251836299895,0.0,0.07087257504463196
A1_G,4,tubes/test/anomalous/004.png,1,defect,32x32,9,21,0.011836066132500059,0.004662692546844482,0.007608532905578613,0.010602056980133057,0.014605224132537842,0.023214489221572876,0.003470003604888916,0.023590177297592163
A1_G,4,tubes/test/anomalous/004.png,1,clean_defect,32x32,9,12,0.011053313811620077,0.0041259825229644775,0.0067877620458602905,0.010445564985275269,0.01492249220609665,0.019231720268726344,0.003470003604888916,0.023214489221572876
A1_G,4,tubes/test/anomalous/004.png,1,boundary,32x32,9,9,0.012879735893673368,0.007119888067245483,0.009247303009033203,0.010602056980133057,0.013508349657058716,0.02327799201011658,0.006558090448379517,0.023590177297592163
A1_G,5,tubes/test/anomalous/005.png,1,abnormal_normal,32x32,8,1003,0.008792208442659464,7.939338684082032e-06,0.0020954757928848267,0.00592041015625,0.011940360069274902,0.027682235836982726,0.0,0.07609841227531433
A1_G,5,tubes/test/anomalous/005.png,1,defect,32x32,8,21,0.013180798008328392,0.004698395729064941,0.009066194295883179,0.010161817073822021,0.016806870698928833,0.025495141744613647,0.003372699022293091,0.027224838733673096
A1_G,5,tubes/test/anomalous/005.png,1,clean_defect,32x32,8,13,0.015093198189368615,0.006896889209747315,0.00955897569656372,0.015363365411758423,0.020712286233901978,0.024249738454818724,0.003372699022293091,0.025495141744613647
A1_G,5,tubes/test/anomalous/005.png,1,boundary,32x32,8,8,0.010073147714138031,0.004775969684123993,0.006827779114246368,0.008345574140548706,0.009609393775463104,0.021252781152725213,0.004698395729064941,0.027224838733673096
A1_G,6,tubes/test/anomalous/006.png,1,abnormal_normal,32x32,4,1008,0.008497208829910036,0.00012672543525695803,0.0019887909293174744,0.0055754780769348145,0.011879108846187592,0.024659223854541775,0.0,0.0980653166770935
A1_G,6,tubes/test/anomalous/006.png,1,defect,32x32,4,16,0.01516052708029747,0.002108372747898102,0.0058810412883758545,0.013429909944534302,0.019534319639205933,0.040439262986183167,0.0012752115726470947,0.04069983959197998
A1_G,6,tubes/test/anomalous/006.png,1,clean_defect,32x32,4,12,0.01832537849744161,0.005277229845523835,0.009031809866428375,0.015732333064079285,0.022986434400081635,0.04050875008106232,0.004075109958648682,0.04069983959197998
A1_G,6,tubes/test/anomalous/006.png,1,boundary,32x32,4,4,0.005665972828865051,0.0014418438076972961,0.002108372747898102,0.0035639554262161255,0.007121555507183075,0.012832926213741299,0.0012752115726470947,0.01426076889038086
A1_G,7,tubes/test/anomalous/007.png,1,abnormal_normal,32x32,9,1003,0.009606452816623753,0.00017830133438110352,0.002462923526763916,0.006186068058013916,0.012887358665466309,0.030180904269218437,0.0,0.09251043200492859
A1_G,7,tubes/test/anomalous/007.png,1,defect,32x32,9,21,0.013810494116374425,0.0013094544410705566,0.007284730672836304,0.011608362197875977,0.017523467540740967,0.03159129619598389,0.0,0.032955318689346313
A1_G,7,tubes/test/anomalous/007.png,1,clean_defect,32x32,9,12,0.016967485348383587,0.005914410948753357,0.01027834415435791,0.014384910464286804,0.022294923663139343,0.03220510631799698,0.005884021520614624,0.032955318689346313
A1_G,7,tubes/test/anomalous/007.png,1,boundary,32x32,9,9,0.009601172473695543,0.0005237817764282227,0.006808966398239136,0.009058475494384766,0.013237148523330688,0.01869388222694397,0.0,0.019652754068374634
A1_G,8,tubes/test/anomalous/008.png,1,abnormal_normal,32x32,8,1005,0.007936033828934626,0.0,0.0019000768661499023,0.005319774150848389,0.011499732732772827,0.024402391910552976,0.0,0.06217241287231445
A1_G,8,tubes/test/anomalous/008.png,1,defect,32x32,8,19,0.011253206353438528,0.003067103028297424,0.005549445748329163,0.009013354778289795,0.015215352177619934,0.025102528929710384,0.001829773187637329,0.026285141706466675
A1_G,8,tubes/test/anomalous/008.png,1,clean_defect,32x32,8,11,0.014505212957208807,0.006613701581954956,0.008728280663490295,0.013074398040771484,0.018550381064414978,0.025628134608268738,0.005658984184265137,0.026285141706466675
A1_G,8,tubes/test/anomalous/008.png,1,boundary,32x32,8,8,0.0067816972732543945,0.0023109570145606996,0.0037077441811561584,0.005177363753318787,0.007772788405418396,0.015255339443683619,0.001829773187637329,0.018616408109664917
A1_G,9,tubes/test/anomalous/009.png,1,abnormal_normal,32x32,10,1003,0.007922517991850408,0.0,0.0017760246992111206,0.004875153303146362,0.01136314868927002,0.024882218241691588,0.0,0.0701439380645752
A1_G,9,tubes/test/anomalous/009.png,1,defect,32x32,10,21,0.015517385233016242,0.003794252872467041,0.005779087543487549,0.014019906520843506,0.02377551794052124,0.0342119038105011,0.002190321683883667,0.036422938108444214
A1_G,9,tubes/test/anomalous/009.png,1,clean_defect,32x32,10,11,0.018420967188748447,0.005399614572525024,0.009141713380813599,0.01841643452644348,0.024489715695381165,0.035317420959472656,0.0050201416015625,0.036422938108444214
A1_G,9,tubes/test/anomalous/009.png,1,boundary,32x32,10,10,0.012323445081710816,0.0029120907187461854,0.004846662282943726,0.013414531946182251,0.018764428794384003,0.022711136937141416,0.002190321683883667,0.02377551794052124
A1_G,10,tubes/test/anomalous/010.png,1,abnormal_normal,32x32,8,1004,0.009152824927373711,4.1937828063964845e-05,0.0018693804740905762,0.005873754620552063,0.012848816812038422,0.03039426654577255,0.0,0.06572216749191284
A1_G,10,tubes/test/anomalous/010.png,1,defect,32x32,8,20,0.01914324164390564,0.005848845839500428,0.008375182747840881,0.0190095454454422,0.02487361431121826,0.033481198549270653,0.0020984411239624023,0.06195059418678284
A1_G,10,tubes/test/anomalous/010.png,1,clean_defect,32x32,8,12,0.02005911370118459,0.004269728064537048,0.006811961531639099,0.0190095454454422,0.02746560424566269,0.045468312501907325,0.0020984411239624023,0.06195059418678284
A1_G,10,tubes/test/anomalous/010.png,1,boundary,32x32,8,8,0.017769433557987213,0.008331647515296936,0.012558899819850922,0.018232569098472595,0.023748643696308136,0.0259751558303833,0.006938278675079346,0.02693900465965271
A1_G,11,tubes/test/anomalous/011.png,1,abnormal_normal,32x32,8,1004,0.009047819056596414,3.3617019653321586e-06,0.002236686646938324,0.006177037954330444,0.012283071875572205,0.029984071850776655,0.0,0.0736234188079834
A1_G,11,tubes/test/anomalous/011.png,1,defect,32x32,8,20,0.02158369868993759,0.007076281309127808,0.01371050626039505,0.02064657211303711,0.029489323496818542,0.03859841972589493,0.003414154052734375,0.04313972592353821
A1_G,11,tubes/test/anomalous/011.png,1,clean_defect,32x32,8,12,0.022305560608704884,0.005534332990646363,0.013675495982170105,0.021296769380569458,0.030903123319149017,0.04051054865121841,0.003414154052734375,0.04313972592353821
A1_G,11,tubes/test/anomalous/011.png,1,boundary,32x32,8,8,0.02050090581178665,0.010769221186637878,0.01371050626039505,0.02064657211303711,0.024687007069587708,0.03208260536193847,0.009306758642196655,0.03313469886779785
A1_G,12,tubes/test/anomalous/012.png,1,abnormal_normal,32x32,9,1003,0.00837199507301612,0.0,0.001862064003944397,0.004986286163330078,0.011651813983917236,0.02639980912208557,0.0,0.10002118349075317
A1_G,12,tubes/test/anomalous/012.png,1,defect,32x32,9,21,0.021519710620244343,0.004332095384597778,0.016057133674621582,0.01991093158721924,0.028180629014968872,0.03652322292327881,0.0033090710639953613,0.04399311542510986
A1_G,12,tubes/test/anomalous/012.png,1,clean_defect,32x32,9,12,0.022525668144226074,0.006129464507102967,0.01773371547460556,0.025245770812034607,0.028714314103126526,0.03358921706676483,0.004332095384597778,0.03652322292327881
A1_G,12,tubes/test/anomalous/012.png,1,boundary,32x32,9,9,0.020178433921602037,0.005156981945037842,0.014257669448852539,0.018680572509765625,0.027976632118225098,0.037668120861053464,0.0033090710639953613,0.04399311542510986
A1_G,13,tubes/test/anomalous/013.png,1,abnormal_normal,32x32,5,1015,0.008655559106413366,0.0,0.0020564496517181396,0.0059761106967926025,0.012301981449127197,0.02624514102935791,0.0,0.0845918357372284
A1_G,13,tubes/test/anomalous/013.png,1,defect,32x32,5,9,0.015566610627704196,0.0032111167907714843,0.0074748992919921875,0.016788095235824585,0.023033589124679565,0.027084255218505857,0.003169238567352295,0.027879834175109863
A1_G,13,tubes/test/anomalous/013.png,1,clean_defect,32x32,5,4,0.021821334958076477,0.01720745414495468,0.018884889781475067,0.02130870521068573,0.02424515038728714,0.027152897417545317,0.016788095235824585,0.027879834175109863
A1_G,13,tubes/test/anomalous/013.png,1,boundary,32x32,5,5,0.010562831163406372,0.00319017767906189,0.0032739341259002686,0.0074748992919921875,0.013005197048187256,0.02331374883651733,0.003169238567352295,0.025890886783599854
A1_G,14,tubes/test/anomalous/014.png,1,abnormal_normal,32x32,5,1013,0.008609119843165708,0.0001182675361633301,0.0022835731506347656,0.006130397319793701,0.011856406927108765,0.02646469473838806,0.0,0.07227182388305664
A1_G,14,tubes/test/anomalous/014.png,1,defect,32x32,5,11,0.009738347747109154,0.000685572624206543,0.0014352500438690186,0.00825449824333191,0.01340116560459137,0.027674973011016846,0.0001653432846069336,0.02798938751220703
A1_G,14,tubes/test/anomalous/014.png,1,clean_defect,32x32,5,6,0.0066327303647994995,0.0004682764410972595,0.001406162977218628,0.0057258158922195435,0.010286353528499603,0.014903880655765533,0.0001653432846069336,0.016406595706939697
A1_G,14,tubes/test/anomalous/014.png,1,boundary,32x32,5,5,0.013465088605880738,0.0014676809310913085,0.0025151968002319336,0.00825449824333191,0.02736055850982666,0.027863621711730957,0.0012058019638061523,0.02798938751220703
A1_G,15,tubes/test/anomalous/015.png,1,abnormal_normal,32x32,8,1012,0.008453242215714436,0.0001596346497535706,0.0021936148405075073,0.005717843770980835,0.011593639850616455,0.025513190031051628,0.0,0.08748608827590942
A1_G,15,tubes/test/anomalous/015.png,1,defect,32x32,8,12,0.019718478123346966,0.004305006563663482,0.008432663977146149,0.011600956320762634,0.020747840404510498,0.05438366383314132,0.0038698017597198486,0.063335120677948
A1_G,15,tubes/test/anomalous/015.png,1,clean_defect,32x32,8,4,0.008664421737194061,0.00494769960641861,0.006094165146350861,0.007812395691871643,0.010382652282714844,0.013573980331420897,0.004661083221435547,0.014371812343597412
A1_G,15,tubes/test/anomalous/015.png,1,boundary,32x32,8,8,0.025245506316423416,0.006203289330005646,0.010709106922149658,0.013260021805763245,0.04167187958955765,0.05763873904943465,0.0038698017597198486,0.063335120677948
A1_G,16,tubes/test/anomalous/016.png,1,abnormal_normal,32x32,8,1012,0.00839800137304977,0.0,0.001858055591583252,0.005361273884773254,0.011679008603096008,0.026335750520229333,0.0,0.07799631357192993
A1_G,16,tubes/test/anomalous/016.png,1,defect,32x32,8,12,0.008589640259742737,0.0023957401514053344,0.0031545087695121765,0.007811099290847778,0.011401079595088959,0.018022240698337556,0.002373218536376953,0.01830005645751953
A1_G,16,tubes/test/anomalous/016.png,1,clean_defect,32x32,8,4,0.00794028490781784,0.003399336338043213,0.005885064601898193,0.007811099290847778,0.009866319596767426,0.012662093341350553,0.0027779042720794678,0.013361036777496338
A1_G,16,tubes/test/anomalous/016.png,1,boundary,32x32,8,8,0.008914317935705185,0.0023875504732131956,0.003063574433326721,0.00820218026638031,0.012509554624557495,0.018123264610767364,0.002373218536376953,0.01830005645751953
A1_G,17,tubes/test/anomalous/017.png,1,abnormal_normal,32x32,3,1015,0.008884707225367354,0.00018340349197387706,0.002434253692626953,0.006042391061782837,0.01231442391872406,0.027847042679786656,0.0,0.06697699427604675
A1_G,17,tubes/test/anomalous/017.png,1,defect,32x32,3,9,0.010909679863188002,0.005889970064163208,0.007655143737792969,0.010870218276977539,0.011842906475067139,0.017279464006423946,0.004892677068710327,0.0203191339969635
A1_G,17,tubes/test/anomalous/017.png,1,clean_defect,32x32,3,6,0.011303141713142395,0.005515985190868378,0.008248478174209595,0.011250585317611694,0.012456215918064117,0.018419340252876282,0.004892677068710327,0.0203191339969635
A1_G,17,tubes/test/anomalous/017.png,1,boundary,32x32,3,3,0.010122756163279215,0.007976651191711426,0.009262681007385254,0.010870218276977539,0.011356562376022339,0.011745637655258179,0.007655143737792969,0.011842906475067139
A1_G,18,tubes/test/anomalous/018.png,1,abnormal_normal,32x32,3,1015,0.008533374605507685,7.729232311248782e-05,0.0023148804903030396,0.005992323160171509,0.01195254921913147,0.02662643492221832,0.0,0.06490117311477661
A1_G,18,tubes/test/anomalous/018.png,1,defect,32x32,3,9,0.010922087563408745,0.004592883586883545,0.005594193935394287,0.009559094905853271,0.015601575374603271,0.020406138896942136,0.004266560077667236,0.021614909172058105
A1_G,18,tubes/test/anomalous/018.png,1,clean_defect,32x32,3,6,0.008749450246493021,0.004470512270927429,0.005467042326927185,0.008090078830718994,0.010914303362369537,0.01454269140958786,0.004266560077667236,0.015601575374603271
A1_G,18,tubes/test/anomalous/018.png,1,boundary,32x32,3,3,0.015267362197240194,0.006894072890281678,0.012093588709831238,0.01859298348426819,0.020103946328163147,0.021312716603279113,0.005594193935394287,0.021614909172058105
A1_G,19,tubes/test/anomalous/019.png,1,abnormal_normal,32x32,9,1004,0.009796671806816086,0.0005566418170928955,0.002712339162826538,0.006682887673377991,0.012713313102722168,0.02990208715200424,0.0,0.08363735675811768
A1_G,19,tubes/test/anomalous/019.png,1,defect,32x32,9,20,0.019107484817504884,0.005119994282722473,0.00810050219297409,0.018255427479743958,0.027435004711151123,0.03926001787185669,0.0025030970573425293,0.0447353720664978
