method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.990250676369352,0.7543705949698211,0.9483695652173914,0.9798186606257487,0.920863309352518
S,0.9817905004435308,0.6198131226207639,0.9375,0.9746667705283111,0.909090909090909
C,0.9766867442985182,0.5203434181061307,0.9144021739130436,0.9609016358238335,0.9078014184397163
A1_J,0.9920788181627376,0.7808189289219691,0.9605978260869565,0.9854366336366083,0.9552238805970149
TRI_J,0.9891843582199291,0.737786546606241,0.9646739130434783,0.9863382718753476,0.9489051094890512
BAL_J,0.9897323384884082,0.7445367531379528,0.9642210144927537,0.9866072151629921,0.9545454545454545
DUP_J,0.9916913681945025,0.7728662306155876,0.9556159420289856,0.9829497965187608,0.9384615384615386
DUP_BAL_J,0.9920788181627376,0.7808189289219691,0.9605978260869565,0.9854366336366083,0.9552238805970149
DUP_EXPECTED_J,0.9916913681945025,0.7728662306155876,0.9556159420289856,0.9829497965187608,0.9384615384615386
A1_L,0.9935513818346555,0.7887062285922318,0.9682971014492754,0.9877408506135422,0.9481481481481481
DUP_L,0.9926454425226292,0.7767308294299188,0.9610507246376812,0.9849018752339687,0.9384615384615386
TRI_L,0.9919854320816671,0.7511061371732446,0.9692028985507246,0.9875488229297343,0.9420289855072463
BAL_L,0.9928261118402775,0.7623748364530469,0.9723731884057971,0.9890464179641842,0.9545454545454545
