config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.007877929136157036,0.011866656132042408,0.19024822115898132,0.9999556107954546,0.023321622982621193,-0.020502064377069473,392,0.011766119860112667,-0.007767131086438894,44664
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.008152044378221035,0.012070393189787865,0.1527901589870453,0.9998890269886364,0.027288418263196945,-0.024790531024336815,392,0.01193683035671711,-0.008006014861166477,44664
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.008868065662682056,0.012669404968619347,0.15895947813987732,0.9999112215909091,0.028722627088427544,-0.026507848873734474,392,0.012528510764241219,-0.008713248185813427,44664
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.01832677610218525,0.02036772109568119,0.19018089771270752,0.9988680752840909,0.04809356853365898,-0.0475836880505085,392,0.02012438140809536,-0.018070001155138016,44664
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.018477415665984154,0.020569978281855583,0.1879568099975586,0.9987571022727273,0.041543591767549515,-0.04067400097846985,392,0.020385902374982834,-0.018282605335116386,44664
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.018318701535463333,0.020367752760648727,0.19020605087280273,0.9988680752840909,0.04537057876586914,-0.04450863227248192,392,0.02014831081032753,-0.018088843673467636,44664
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.007692660670727491,0.011293242685496807,0.19024822115898132,0.9999556107954546,0.021802108734846115,-0.019129056483507156,392,0.011201010085642338,-0.007592287380248308,44664
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.008024957962334156,0.011565545573830605,0.1441706418991089,0.9999778053977273,0.02686748281121254,-0.024451054632663727,392,0.011431246064603329,-0.007880792021751404,44664
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.008665347471833229,0.012136519886553288,0.14280420541763306,0.9999556107954546,0.028071369975805283,-0.026293564587831497,392,0.011996665969491005,-0.008510630577802658,44664
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.017637528479099274,0.019408373162150383,0.18128851056098938,0.9989790482954546,0.04569929838180542,-0.045204926282167435,392,0.019177626818418503,-0.01739557832479477,44664
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.018059032037854195,0.019878389313817024,0.1830986738204956,0.9987349076704546,0.040281958878040314,-0.03923256695270538,392,0.01969931647181511,-0.01787320151925087,44664
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.017819954082369804,0.019629137590527534,0.17847450077533722,0.9989568536931818,0.04354085773229599,-0.04275551438331604,392,0.019419273361563683,-0.017601104453206062,44664
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.01671823300421238,0.017798541113734245,0.2038251906633377,0.9999556107954546,0.0297259408980608,-0.029153089970350266,392,0.017693858593702316,-0.01660909689962864,44664
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.017305344343185425,0.018323613330721855,0.19874845445156097,0.9999778053977273,0.0365038700401783,-0.03598671779036522,392,0.018164049834012985,-0.01714138500392437,44664
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.016793616116046906,0.017797647044062614,0.1853184998035431,1.0,0.03543713316321373,-0.034991487860679626,392,0.017642831429839134,-0.0166338998824358,44664
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04866446554660797,0.04874018579721451,0.24789175391197205,0.9988458806818182,0.06748003512620926,-0.06740906089544296,392,0.048575714230537415,-0.048499953001737595,44664
