config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.02063026838004589,0.024732504040002823,0.1896291971206665,0.9999597293814433,0.031176486983895302,-0.027045520022511482,14561,0.023625575006008148,-0.019528275355696678,84767
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.018007246777415276,0.02190539427101612,0.18246591091156006,0.9973723421391752,0.026377296075224876,-0.02206387184560299,14561,0.02113722264766693,-0.01731041446328163,84767
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.017119383439421654,0.02205909974873066,0.1884891390800476,0.9997080380154639,0.026090504601597786,-0.016922444105148315,14561,0.021366596221923828,-0.017153214663267136,84767
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.02017989382147789,0.023698383942246437,0.18102654814720154,0.9999395940721649,0.030430538579821587,-0.02669403702020645,14561,0.0225419569760561,-0.01906091719865799,84767
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.017001960426568985,0.020311016589403152,0.18001000583171844,0.9978857925257731,0.024035733193159103,-0.020032444968819618,14561,0.01967119611799717,-0.016481393948197365,84767
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.016218215227127075,0.02058212086558342,0.1519240289926529,0.9997986469072165,0.02410462312400341,-0.014963976107537746,14561,0.019977040588855743,-0.01643366552889347,84767
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.055425308644771576,0.055528026074171066,0.2074272781610489,1.0,0.0529567189514637,-0.05282079800963402,14561,0.0559697188436985,-0.055872704833745956,84767
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.050919245928525925,0.05104679986834526,0.21029043197631836,0.997815318943299,0.04307781904935837,-0.04286034405231476,14561,0.05241568759083748,-0.05230357497930527,84767
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.05113258957862854,0.051232486963272095,0.18704992532730103,0.9998288498711341,0.044950228184461594,-0.04477263242006302,14561,0.05231163278222084,-0.05222508683800697,84767
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.016641536727547646,0.02040516398847103,0.13452962040901184,0.9999395940721649,0.025972913950681686,-0.02188192307949066,14561,0.01944875530898571,-0.015741361305117607,84767
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.014747519046068192,0.018254399299621582,0.12781552970409393,0.9977851159793815,0.02127780020236969,-0.016767678782343864,14561,0.017735052853822708,-0.014400503598153591,84767
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.01408988144248724,0.01850305311381817,0.14140158891677856,0.999657699742268,0.021354373544454575,-0.013265023939311504,14561,0.018013259395956993,-0.014231574721634388,84767
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.07074658572673798,0.07084503024816513,0.2639990448951721,1.0,0.06676959991455078,-0.06665166467428207,14561,0.07154509425163269,-0.07145000249147415,84767
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.06467197090387344,0.06480467319488525,0.25152260065078735,0.9977146423969072,0.054276566952466965,-0.05404501035809517,14561,0.06661314517259598,-0.06649743765592575,84767
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.06396336108446121,0.06406454741954803,0.24939990043640137,0.9997281733247423,0.05358712375164032,-0.05341541767120361,14561,0.06586431711912155,-0.06577524542808533,84767
