method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9697361720863469,0.16520540023916896,0.7918882978723405,0.8746829942968083,0.782608695652174
S,0.9624320031762917,0.16757693372375532,0.7340425531914894,0.8469449535549045,0.7580645161290321
C,0.952287465130291,0.04065026896973195,0.5704787234042554,0.6435389356568558,0.7479674796747967
A1_J,0.9729307215844085,0.1888466451265058,0.7772606382978723,0.8667671562825722,0.7706422018348622
TRI_J,0.9695418469441061,0.18823303288748672,0.7613031914893618,0.8661776254665087,0.7567567567567568
BAL_J,0.9704584616809562,0.20126683113703178,0.7573138297872342,0.8617193069342219,0.7524752475247524
DUP_J,0.9722698174807001,0.18166325999729524,0.790558510638298,0.8744703100532653,0.7818181818181817
DUP_BAL_J,0.9729307215844085,0.1888466451265058,0.7772606382978723,0.8667671562825722,0.7706422018348622
DUP_EXPECTED_J,0.9722698174807001,0.18166325999729524,0.790558510638298,0.8744703100532653,0.7818181818181817
A1_L,0.975184881351149,0.18326883069172695,0.7832446808510638,0.8641806393310292,0.7850467289719626
DUP_L,0.9737763084191763,0.17721684527854145,0.7952127659574467,0.8746599579747392,0.7850467289719626
TRI_L,0.9738259634415449,0.18549883877100132,0.7852393617021278,0.876495729013019,0.7787610619469028
BAL_L,0.9744813588085837,0.18816038333362953,0.7719414893617023,0.8645101805955672,0.7747747747747749
