method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9980806106442168,0.1648635266157836,0.918888888888889,0.8971534473774251,0.8813559322033899
S,0.9983059775639381,0.15865970970216983,0.9422222222222222,0.9482497130866696,0.8656716417910447
C,0.9944361691777421,0.0698015294414481,0.9077777777777778,0.8870420872510725,0.8787878787878789
A1_J,0.998556440196607,0.1584122520981275,0.9544444444444445,0.9569995446346646,0.888888888888889
TRI_J,0.9987562169065738,0.2040876314385516,0.9533333333333334,0.9554391172969604,0.8955223880597014
BAL_J,0.998840775860545,0.15006842719360036,0.9644444444444444,0.9670829707108443,0.8955223880597014
DUP_J,0.9984082147787541,0.16358365620408802,0.9433333333333332,0.9418377960518634,0.8813559322033899
DUP_BAL_J,0.998556440196607,0.1584122520981275,0.9544444444444445,0.9569995446346646,0.888888888888889
DUP_EXPECTED_J,0.9984082147787541,0.16358365620408802,0.9433333333333332,0.9418377960518634,0.8813559322033899
A1_L,0.9984242859249767,0.16127709167173243,0.951111111111111,0.9505480211298728,0.888888888888889
DUP_L,0.9983278590476412,0.16453576544924683,0.9388888888888889,0.9348712718353391,0.8813559322033899
TRI_L,0.9987250636077424,0.15793053470870233,0.9500000000000001,0.9544506324350472,0.8823529411764706
BAL_L,0.9987759967788479,0.14309134071331103,0.9577777777777778,0.9616673822700766,0.8823529411764706
