method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,bracket_brown/test/bend_and_parts_mismatch/000.png,2176,1816,1789,81,54,1735,306,0,0,0.8345588235294118,0.8221507352941176,0.03722426470588235,0.024816176470588234
A1,image,1,bracket_brown/test/bend_and_parts_mismatch/001.png,1920,1749,1776,25,52,1724,119,0,0,0.9109375,0.925,0.013020833333333334,0.027083333333333334
A1,image,2,bracket_brown/test/bend_and_parts_mismatch/002.png,1792,1636,1596,56,16,1580,140,0,0,0.9129464285714286,0.890625,0.03125,0.008928571428571428
A1,image,3,bracket_brown/test/bend_and_parts_mismatch/003.png,1728,1530,1547,41,58,1489,140,0,0,0.8854166666666666,0.8952546296296297,0.023726851851851853,0.03356481481481482
A1,image,4,bracket_brown/test/bend_and_parts_mismatch/004.png,2176,1991,1918,90,17,1901,168,0,0,0.9149816176470589,0.8814338235294118,0.04136029411764706,0.0078125
A1,image,5,bracket_brown/test/bend_and_parts_mismatch/005.png,2496,2276,2221,78,23,2198,197,0,0,0.9118589743589743,0.889823717948718,0.03125,0.00921474358974359
A1,image,6,bracket_brown/test/bend_and_parts_mismatch/006.png,1920,1831,1808,30,7,1801,82,0,0,0.9536458333333333,0.9416666666666667,0.015625,0.0036458333333333334
A1,image,7,bracket_brown/test/bend_and_parts_mismatch/007.png,2240,1916,1839,106,29,1810,295,0,0,0.8553571428571428,0.8209821428571429,0.04732142857142857,0.012946428571428572
A1,image,8,bracket_brown/test/bend_and_parts_mismatch/008.png,2688,2107,2125,63,81,2044,500,0,0,0.7838541666666666,0.7905505952380952,0.0234375,0.030133928571428572
A1,image,9,bracket_brown/test/bend_and_parts_mismatch/009.png,1984,1628,1632,30,34,1598,322,0,0,0.8205645161290323,0.8225806451612904,0.015120967741935484,0.017137096774193547
A1,image,10,bracket_brown/test/bend_and_parts_mismatch/010.png,2048,1777,1752,79,54,1698,217,0,0,0.86767578125,0.85546875,0.03857421875,0.0263671875
A1,image,11,bracket_brown/test/bend_and_parts_mismatch/011.png,2112,1894,1903,50,59,1844,159,0,0,0.896780303030303,0.9010416666666666,0.023674242424242424,0.02793560606060606
A1,image,12,bracket_brown/test/bend_and_parts_mismatch/012.png,2048,1721,1748,38,65,1683,262,0,0,0.84033203125,0.853515625,0.0185546875,0.03173828125
A1,image,13,bracket_brown/test/bend_and_parts_mismatch/013.png,1920,1846,1800,66,20,1780,54,0,0,0.9614583333333333,0.9375,0.034375,0.010416666666666666
A1,image,14,bracket_brown/test/bend_and_parts_mismatch/014.png,2624,2388,2384,31,27,2357,209,0,0,0.9100609756097561,0.9085365853658537,0.011814024390243903,0.010289634146341464
A1,image,15,bracket_brown/test/bend_and_parts_mismatch/015.png,2176,2012,1930,100,18,1912,146,0,0,0.9246323529411765,0.8869485294117647,0.04595588235294118,0.008272058823529412
A1,image,16,bracket_brown/test/bend_and_parts_mismatch/016.png,1856,1721,1667,72,18,1649,117,0,0,0.9272629310344828,0.8981681034482759,0.03879310344827586,0.009698275862068966
A1,image,17,bracket_brown/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,bracket_brown/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,bracket_brown/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,bracket_brown/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,bracket_brown/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,bracket_brown/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,bracket_brown/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,bracket_brown/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,bracket_brown/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,bracket_brown/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,27,bracket_brown/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,28,bracket_brown/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,29,bracket_brown/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,30,bracket_brown/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,31,bracket_brown/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,32,bracket_brown/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,33,bracket_brown/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
