method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9674251984622089,0.2649215936870668,0.8476190476190476,0.7632114255260481,0.6923076923076924
S,0.9679340023014978,0.1519562341552757,0.7571428571428571,0.5427922889799094,0.6511627906976745
C,0.9683369981021802,0.1193312763913836,0.8238095238095238,0.7033144368858654,0.689655172413793
A1_J,0.9694821668265352,0.25925740504671313,0.8476190476190476,0.7046099675301356,0.7200000000000001
TRI_J,0.9680838743684428,0.19974236239497234,0.7714285714285715,0.5885807228874456,0.6666666666666666
BAL_J,0.9693396395592051,0.20301807993594262,0.8047619047619048,0.641375216753368,0.6666666666666666
DUP_J,0.9681431764713064,0.2704973378829428,0.8476190476190476,0.7431277056277056,0.6842105263157894
DUP_BAL_J,0.9694821668265352,0.25925740504671313,0.8476190476190476,0.7046099675301356,0.7200000000000001
DUP_EXPECTED_J,0.9681431764713064,0.2704973378829428,0.8476190476190476,0.7431277056277056,0.6842105263157894
A1_L,0.9751684200706474,0.2714639155725175,0.8523809523809525,0.724153267367553,0.6923076923076924
DUP_L,0.9723554524358409,0.27482480579192636,0.8690476190476191,0.7601492819349962,0.6956521739130435
TRI_L,0.9745976385229207,0.2220425214633968,0.8071428571428572,0.6395902833710715,0.6875000000000001
BAL_L,0.9767676738771612,0.22516469266312433,0.8452380952380952,0.6900531141910453,0.7857142857142857
