config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0031883777119219303,0.005682077724486589,0.09078136086463928,0.78623046875,0.010291674174368382,-0.00785763282328844,156,0.005670343991369009,-0.0031764921732246876,61284
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.005432681646198034,0.008549784310162067,0.15386974811553955,0.9998697916666667,0.014464855194091797,-0.008460159413516521,156,0.008534727618098259,-0.005424974486231804,61284
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.0041329823434352875,0.006849800236523151,0.14626410603523254,0.8729654947916666,0.013251490890979767,-0.009636012837290764,156,0.00683350395411253,-0.004118973854929209,61284
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.013725698925554752,0.015465703792870045,0.1542585790157318,0.9991048177083334,0.02511254884302616,-0.02385687828063965,156,0.015441147610545158,-0.01369991060346365,61284
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.014131788164377213,0.015922293066978455,0.15789571404457092,0.998876953125,0.02902493067085743,-0.027627669274806976,156,0.015888940542936325,-0.014097433537244797,61284
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.013880903832614422,0.015659740194678307,0.15418317914009094,0.9983235677083333,0.01928948238492012,-0.017147092148661613,156,0.015650499612092972,-0.013872590847313404,61284
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0033248872496187687,0.0055511449463665485,0.0857214480638504,0.7905598958333333,0.013131020590662956,-0.010182063095271587,156,0.00553185073658824,-0.0033074324019253254,61284
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.00548663130030036,0.008248494006693363,0.13994480669498444,0.9998372395833334,0.013136194087564945,-0.008458542637526989,156,0.0082360515370965,-0.0054790666326880455,61284
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.00414558919146657,0.006612568162381649,0.12716056406497955,0.8703287760416667,0.012571523897349834,-0.00922971311956644,156,0.006597400177270174,-0.004132647067308426,61284
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.013418033719062805,0.014948840253055096,0.1542585790157318,0.998828125,0.02454872615635395,-0.023582393303513527,156,0.014924404211342335,-0.013392160646617413,61284
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.013788536190986633,0.015352427028119564,0.1512726992368698,0.9991048177083334,0.028919024392962456,-0.027905531227588654,156,0.015317892655730247,-0.01375260204076767,61284
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.013487787917256355,0.015056610107421875,0.1429590880870819,0.998291015625,0.0190449096262455,-0.017008012160658836,156,0.015046457760035992,-0.013478826731443405,61284
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.007144778501242399,0.007830038666725159,0.15550698339939117,0.7673177083333333,0.023185517638921738,-0.02311646193265915,156,0.007790951523929834,-0.0071041216142475605,61284
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.012113945558667183,0.01298611517995596,0.17232297360897064,0.999951171875,0.03495607525110245,-0.03491722419857979,156,0.012930191121995449,-0.012055899016559124,61284
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.008225437253713608,0.009063404984772205,0.164256289601326,0.8571126302083333,0.01118562463670969,-0.011098429560661316,156,0.009058002382516861,-0.008218123577535152,61284
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04167310521006584,0.04172508791089058,0.20854516327381134,0.998779296875,0.075176902115345,-0.075176902115345,156,0.041639938950538635,-0.041587818413972855,61284
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.042380623519420624,0.04243147000670433,0.2270355224609375,0.9990885416666667,0.07740402221679688,-0.07740402221679688,156,0.04234243929386139,-0.04229146987199783,61284
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.04105517640709877,0.0410933755338192,0.22816209495067596,0.998193359375,0.04666244611144066,-0.04664294049143791,156,0.04107919707894325,-0.04104095324873924,61284
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.003025938058272004,0.00523378374055028,0.0921708345413208,0.7882975260416667,0.009611011482775211,-0.006682790350168943,156,0.005222640931606293,-0.003016629721969366,61284
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.004931735806167126,0.0076787215657532215,0.10699467360973358,0.9997884114583333,0.010071410797536373,-0.006123055703938007,156,0.007672630716115236,-0.00492870295420289,61284
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.0037818108685314655,0.006197490729391575,0.1220230683684349,0.865673828125,0.009623169898986816,-0.006681220605969429,156,0.006188771687448025,-0.0037744303699582815,61284
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.011635889299213886,0.01341413427144289,0.12737050652503967,0.9988118489583333,0.0174784604460001,-0.016325021162629128,156,0.013403790071606636,-0.011623953469097614,61284
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.011952023953199387,0.013730181381106377,0.13281431794166565,0.99921875,0.020651761442422867,-0.019537730142474174,156,0.013712561689317226,-0.01193271391093731,61284
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.011729967780411243,0.01352118793874979,0.1197671964764595,0.9981282552083334,0.015957191586494446,-0.013986315578222275,156,0.013514987193048,-0.011724223382771015,61284
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.008956493809819221,0.009718443267047405,0.18660655617713928,0.770166015625,0.02631920389831066,-0.026236219331622124,156,0.009676184505224228,-0.008912507444620132,61284
TRI_J__perm_S_cross_p01,TRI_J,S_cross,01,-0.015280376188457012,0.01626194454729557,0.221800297498703,0.9999348958333333,0.042174819856882095,-0.042128127068281174,156,0.016195984557271004,-0.015212034806609154,61284
TRI_J__perm_S_cross_p02,TRI_J,S_cross,02,-0.010379412211477757,0.011344850063323975,0.20609590411186218,0.8566243489583333,0.016244197264313698,-0.016031507402658463,156,0.011332378722727299,-0.010365024209022522,61284
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.052435651421546936,0.052492957562208176,0.277847021818161,0.9986979166666666,0.09562257677316666,-0.09562257677316666,156,0.052383165806531906,-0.052325718104839325,61284
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.053338002413511276,0.053391195833683014,0.2818847894668579,0.99921875,0.10031678527593613,-0.10031678527593613,156,0.05327174440026283,-0.05321841686964035,61284
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.05162455141544342,0.05167035758495331,0.2998209595680237,0.9981119791666667,0.05757101997733116,-0.05757101997733116,156,0.05165534093976021,-0.05160941183567047,61284
