method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9667495420246107,0.8425349349718037,1.0,1.0,1.0
S,0.980646246658289,0.8968015534696576,1.0,1.0,1.0
C,0.9913824399241389,0.9444438915027691,1.0,1.0,1.0
A1_J,0.983901352553577,0.8976311779112216,1.0,1.0,1.0
TRI_J,0.9833444168613056,0.9017283475728802,1.0,1.0,1.0
BAL_J,0.9868161325517792,0.9168335251354834,1.0,1.0,1.0
DUP_J,0.9793544818176626,0.8779779535194705,1.0,1.0,1.0
DUP_BAL_J,0.983901352553577,0.8976311779112216,1.0,1.0,1.0
DUP_EXPECTED_J,0.9793544818176626,0.8779779535194705,1.0,1.0,1.0
A1_L,0.985647155967337,0.9005140635362014,1.0,1.0,1.0
DUP_L,0.9803838490553107,0.8799561404726132,1.0,1.0,1.0
TRI_L,0.9857029673433275,0.9070497371798882,1.0,1.0,1.0
BAL_L,0.9891081126863555,0.9220445623217749,1.0,1.0,1.0
