method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.8817220715124212,0.037683947000412124,0.45248868778280543,0.6526055952335706,0.8095238095238095
S,0.9268723573188242,0.04330864981732668,0.4660633484162896,0.6793357099056567,0.8095238095238095
C,0.9249674471291033,0.02872429392249899,0.6176470588235294,0.7313922613207775,0.8095238095238095
A1_J,0.9039260470367483,0.03336958319325254,0.5708898944193062,0.7598400574200707,0.8160000000000001
TRI_J,0.9152140793935396,0.03730236593058412,0.5407239819004525,0.7379669213664904,0.8160000000000001
BAL_J,0.9188949912164149,0.03529768097625927,0.5761689291101055,0.7542956958361293,0.8160000000000001
DUP_J,0.8951119726215568,0.03532162403908852,0.5150829562594268,0.7149788611545356,0.8160000000000001
DUP_BAL_J,0.9039260470367483,0.03336958319325254,0.5708898944193062,0.7598400574200707,0.8160000000000001
DUP_EXPECTED_J,0.8951119726215568,0.03532162403908852,0.5150829562594268,0.7149788611545356,0.8160000000000001
A1_L,0.9123518896184327,0.0390990868766131,0.552790346907994,0.7371496498349854,0.8095238095238095
DUP_L,0.9011379357360016,0.038977918629171326,0.5113122171945701,0.7016401944694092,0.8095238095238095
TRI_L,0.9233213473580139,0.04145489763783313,0.5444947209653092,0.747203874411268,0.8095238095238095
BAL_L,0.9279971070673245,0.04017309650456525,0.5716440422322775,0.7586885658644605,0.8160000000000001
