method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,tubes/test/anomalous/000.png,1,abnormal_normal,32x32,10,1000,0.009564549773931503,0.00016157180070877077,0.0025424137711524963,0.006775707006454468,0.01333586871623993,0.03042463809251785,0.0,0.05602377653121948
A1_G,0,tubes/test/anomalous/000.png,1,defect,32x32,10,24,0.012121451397736868,0.00019521117210388202,0.008413434028625488,0.012148693203926086,0.017226994037628174,0.021758869290351868,0.0,0.021959394216537476
A1_G,0,tubes/test/anomalous/000.png,1,clean_defect,32x32,10,14,0.011617051703589303,0.0008459150791168213,0.008377403020858765,0.012148693203926086,0.01610059291124344,0.020291210711002348,0.0,0.021788686513900757
A1_G,0,tubes/test/anomalous/000.png,1,boundary,32x32,10,10,0.012827610969543457,0.0023803800344467164,0.00911393016576767,0.012319356203079224,0.018073491752147675,0.021793124079704285,0.0,0.021959394216537476
A1_G,1,tubes/test/anomalous/001.png,1,abnormal_normal,32x32,10,1002,0.009223676251318164,0.0,0.0024923086166381836,0.006345376372337341,0.012622542679309845,0.026831103861331904,0.0,0.0784139335155487
A1_G,1,tubes/test/anomalous/001.png,1,defect,32x32,10,22,0.011118057099255648,0.00011411309242248545,0.0051358044147491455,0.011444315314292908,0.014639206230640411,0.021197812259197233,0.0,0.03452908992767334
A1_G,1,tubes/test/anomalous/001.png,1,clean_defect,32x32,10,12,0.015136425693829855,0.0062551349401474,0.010909020900726318,0.013518288731575012,0.01860414445400238,0.027226661145687094,0.00502169132232666,0.03452908992767334
A1_G,1,tubes/test/anomalous/001.png,1,boundary,32x32,10,10,0.006296014785766602,0.0,0.0023040398955345154,0.00482650101184845,0.011050842702388763,0.013852812349796293,0.0,0.01485857367515564
A1_G,2,tubes/test/anomalous/002.png,1,abnormal_normal,32x32,9,1002,0.009145916311326855,0.0,0.0023433342576026917,0.006086558103561401,0.012894853949546814,0.0277398496866226,0.0,0.08567634224891663
A1_G,2,tubes/test/anomalous/002.png,1,defect,32x32,9,22,0.016348394480618565,0.002110254764556885,0.007351726293563843,0.013680920004844666,0.02221054583787918,0.04107479304075241,0.0016465485095977783,0.04203188419342041
A1_G,2,tubes/test/anomalous/002.png,1,clean_defect,32x32,9,13,0.01726484069457421,0.007624763250350952,0.011731088161468506,0.014044344425201416,0.0231325626373291,0.030829894542694077,0.007156699895858765,0.03694593906402588
A1_G,2,tubes/test/anomalous/002.png,1,boundary,32x32,9,9,0.015024638838238187,0.001798480749130249,0.003703892230987549,0.004046142101287842,0.01944449543952942,0.04173597097396851,0.0016465485095977783,0.04203188419342041
A1_G,3,tubes/test/anomalous/003.png,1,abnormal_normal,32x32,9,1002,0.009673310105434197,0.0,0.002133317291736603,0.005842253565788269,0.01368211954832077,0.031112122535705566,0.0,0.09757310152053833
A1_G,3,tubes/test/anomalous/003.png,1,defect,32x32,9,22,0.013600010763515125,0.0021219491958618165,0.007427975535392761,0.010799452662467957,0.01847679913043976,0.024229389429092404,0.0,0.048986583948135376
