config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.00750022754073143,0.010438487865030766,0.169378399848938,0.8637633504746836,0.023937733843922615,-0.020700866356492043,300,0.010388240218162537,-0.007451090961694717,80596
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.012641822919249535,0.015727316960692406,0.21059754490852356,0.999864022943038,0.038428548723459244,-0.03308654949069023,300,0.015642816200852394,-0.01256572175770998,80596
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.00991496630012989,0.01252157986164093,0.21262654662132263,0.8531942246835443,0.03382651135325432,-0.028549181297421455,300,0.012442276813089848,-0.009845606051385403,80596
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.015623905695974827,0.017677146941423416,0.19539374113082886,0.9992706685126582,0.030146144330501556,-0.02704615890979767,300,0.01763073354959488,-0.015581388957798481,80596
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.016009965911507607,0.018070856109261513,0.1960403025150299,0.9984177215189873,0.03478485718369484,-0.03218924254179001,300,0.01800864189863205,-0.01594974286854267,80596
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.015793027356266975,0.017833726480603218,0.15929865837097168,0.9988627373417721,0.036155879497528076,-0.03387914597988129,300,0.017765527591109276,-0.01572570763528347,80596
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.007390827406197786,0.009989584796130657,0.16407576203346252,0.8508331685126582,0.0237435270100832,-0.01996467635035515,300,0.009938388131558895,-0.007344024255871773,80596
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.012327020987868309,0.015165029093623161,0.21059755980968475,0.9998392998417721,0.0389130674302578,-0.0329289548099041,300,0.015076631680130959,-0.012250334955751896,80596
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.009814666584134102,0.012232999317348003,0.21079646050930023,0.8730097903481012,0.03404233977198601,-0.028148286044597626,300,0.01215181965380907,-0.009746423922479153,80596
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.014881453476846218,0.0167418010532856,0.1848161518573761,0.9992583069620253,0.029731864109635353,-0.0259664636105299,300,0.016693446785211563,-0.014840193092823029,80596
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.015313454903662205,0.01717584952712059,0.1959260106086731,0.9983559137658228,0.03491866588592529,-0.03147284686565399,300,0.017109805718064308,-0.01525330450385809,80596
