method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.98296533025653,0.47713325328216155,0.9571428571428572,0.8964118223046793,0.8666666666666666
S,0.979566939168271,0.4274864633244969,0.9523809523809524,0.9298245614035087,0.88
C,0.9768387944303145,0.2412592008000506,0.8333333333333334,0.6976811768137507,0.742857142857143
A1_J,0.9842972810505697,0.5158953399144229,0.9571428571428571,0.9166177893068648,0.8571428571428571
TRI_J,0.9815406966761826,0.49661296526234894,0.9642857142857143,0.9312984303032953,0.8571428571428571
BAL_J,0.982811466243301,0.4988358226582142,0.9642857142857143,0.9303491151705436,0.8666666666666666
DUP_J,0.9836687140534062,0.49749158201703636,0.9523809523809524,0.9016243676957961,0.8571428571428571
DUP_BAL_J,0.9842972810505697,0.5158953399144229,0.9571428571428571,0.9166177893068648,0.8571428571428571
DUP_EXPECTED_J,0.9836687140534062,0.49749158201703636,0.9523809523809524,0.9016243676957961,0.8571428571428571
A1_L,0.9873446527187968,0.5486500599565869,0.9714285714285714,0.9376304367901005,0.9032258064516129
DUP_L,0.9860438314748128,0.5204643593671743,0.9642857142857143,0.9206623558514313,0.8750000000000001
TRI_L,0.9863668500386508,0.5497245042926997,0.9904761904761905,0.9804748822605964,0.9333333333333333
BAL_L,0.987266282753037,0.5624275409762526,0.9857142857142858,0.973530437816152,0.9285714285714286
