config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.006434457842260599,0.010181860066950321,0.12440288066864014,0.9998259591584159,0.014835016801953316,-0.01110817864537239,1544,0.010111340321600437,-0.006363626569509506,101880
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.016822880133986473,0.018725471571087837,0.1500438153743744,0.9990717821782178,0.022764675319194794,-0.020146453753113747,1544,0.018664255738258362,-0.016772514209151268,101880
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.015861500054597855,0.017690161243081093,0.15685167908668518,0.9987913830445545,0.021244846284389496,-0.01793757639825344,1544,0.017636289820075035,-0.015830036252737045,101880
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.015642033889889717,0.017614820972085,0.15387585759162903,0.9991394647277227,0.018402576446533203,-0.015206979587674141,1544,0.017602883279323578,-0.015648627653717995,101880
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.005851353518664837,0.009303731843829155,0.10184994339942932,0.9997872834158416,0.01323540136218071,-0.009992343373596668,1544,0.009244145825505257,-0.0057885972782969475,101880
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.016054758802056313,0.017793934792280197,0.13502199947834015,0.9989460860148515,0.022020859643816948,-0.019810406491160393,1544,0.017729874700307846,-0.015997841954231262,101880
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.015013912692666054,0.016662882640957832,0.1614932268857956,0.9984626392326733,0.019603950902819633,-0.016508907079696655,1544,0.016618311405181885,-0.014991255477070808,101880
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.015153808519244194,0.016931578516960144,0.15032726526260376,0.9996615872524752,0.01770029589533806,-0.014548203907907009,1544,0.016919927671551704,-0.01516298670321703,101880
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.013962037861347198,0.015337035991251469,0.1380702257156372,0.9998646349009901,0.02371259592473507,-0.023260289803147316,1544,0.015210103243589401,-0.013821125030517578,101880
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04819619655609131,0.0482669398188591,0.1964232623577118,0.9989267481435643,0.03770327568054199,-0.03744795545935631,1544,0.048427026718854904,-0.04835908114910126,101880
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.047879964113235474,0.047949932515621185,0.20992489159107208,0.9984433013613861,0.036244314163923264,-0.03603038191795349,1544,0.04812733083963394,-0.04805954173207283,101880
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.04678314924240112,0.046852461993694305,0.18817254900932312,0.9996422493811881,0.03348974138498306,-0.033018700778484344,1544,0.04705497622489929,-0.046991750597953796,101880
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.006083749234676361,0.009311576373875141,0.1261778622865677,0.9997486076732673,0.01258816011250019,-0.009548523463308811,1544,0.009261918254196644,-0.006031240802258253,101880
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.01460442878305912,0.016453010961413383,0.1457880586385727,0.9989654238861386,0.02179916389286518,-0.01942722126841545,1544,0.016371987760066986,-0.014531339518725872,101880
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.013734044507145882,0.015506244264543056,0.11999619007110596,0.9984142945544554,0.020040936768054962,-0.01712982915341854,1544,0.015437520109117031,-0.01368258148431778,101880
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.01381135918200016,0.01570270024240017,0.11946065723896027,0.9995455600247525,0.017637362703680992,-0.014582804404199123,1544,0.015673378482460976,-0.013799666427075863,101880
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.018035227432847023,0.019646717235445976,0.1748296469449997,0.999932317450495,0.030360432341694832,-0.02981983684003353,1544,0.019484348595142365,-0.017856629565358162,101880
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.06080733984708786,0.060889098793268204,0.25256824493408203,0.9989654238861386,0.04726988077163696,-0.0469297431409359,1544,0.06109549105167389,-0.06101766228675842,101880
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.060694556683301926,0.06076499819755554,0.2732149064540863,0.9984142945544554,0.04535235837101936,-0.04520440846681595,1544,0.0609985776245594,-0.060929324477910995,101880
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.0593128502368927,0.05939123034477234,0.24576468765735626,0.9996035736386139,0.04246431216597557,-0.041987404227256775,1544,0.05964776128530502,-0.059575412422418594,101880
