method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9600690895713397,0.8146897702341616,1.0,1.0,1.0
S,0.9764563023306235,0.8788824610102793,1.0,1.0,1.0
C,0.9901080386677009,0.9368812422835855,1.0,1.0,1.0
A1_J,0.9811625355130171,0.8824154233962727,1.0,1.0,1.0
TRI_J,0.9800728116338003,0.8859665476651185,1.0,1.0,1.0
BAL_J,0.9844570747214564,0.9039388167834257,1.0,1.0,1.0
DUP_J,0.9754147064570978,0.8587370062689814,1.0,1.0,1.0
DUP_BAL_J,0.9811625355130171,0.8824154233962727,1.0,1.0,1.0
DUP_EXPECTED_J,0.9754147064570978,0.8587370062689814,1.0,1.0,1.0
A1_L,0.9825999971532637,0.8832500105308801,1.0,1.0,1.0
DUP_L,0.9760806669541107,0.8586717504017444,1.0,1.0,1.0
TRI_L,0.9826020873888096,0.8912046752850706,1.0,1.0,1.0
BAL_L,0.9868982239779496,0.9090837904488278,1.0,1.0,1.0
