method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,bracket_white/test/defective_painting/000.png,1,abnormal_normal,32x32,3,1021,0.009840912117196812,0.0007678568363189697,0.0030570030212402344,0.007162243127822876,0.013192176818847656,0.027691960334777832,0.0,0.11797887086868286
A1_G,0,bracket_white/test/defective_painting/000.png,1,defect,32x32,3,3,0.031827072302500405,0.003603240847587586,0.01710556447505951,0.033983469009399414,0.04762677848339081,0.05854142606258392,0.0002276599407196045,0.0612700879573822
A1_G,0,bracket_white/test/defective_painting/000.png,1,clean_defect,32x32,3,0,,,,,,,,
A1_G,0,bracket_white/test/defective_painting/000.png,1,boundary,32x32,3,3,0.031827072302500405,0.003603240847587586,0.01710556447505951,0.033983469009399414,0.04762677848339081,0.05854142606258392,0.0002276599407196045,0.0612700879573822
A1_G,1,bracket_white/test/defective_painting/001.png,1,abnormal_normal,32x32,3,1021,0.009697594149922998,0.0005669295787811279,0.003046393394470215,0.006813943386077881,0.013218939304351807,0.02820509672164917,0.0,0.12584781646728516
A1_G,1,bracket_white/test/defective_painting/001.png,1,defect,32x32,3,3,0.017441362142562866,0.012712585926055908,0.013808071613311768,0.015177428722381592,0.019942685961723328,0.023754891753196717,0.012438714504241943,0.024707943201065063
A1_G,1,bracket_white/test/defective_painting/001.png,1,clean_defect,32x32,3,0,,,,,,,,
A1_G,1,bracket_white/test/defective_painting/001.png,1,boundary,32x32,3,3,0.017441362142562866,0.012712585926055908,0.013808071613311768,0.015177428722381592,0.019942685961723328,0.023754891753196717,0.012438714504241943,0.024707943201065063
A1_G,2,bracket_white/test/defective_painting/002.png,1,abnormal_normal,32x32,3,1021,0.009913425312453223,0.0006214678287506104,0.0031861066818237305,0.007203161716461182,0.013086557388305664,0.029506593942642212,0.0,0.0630907416343689
A1_G,2,bracket_white/test/defective_painting/002.png,1,defect,32x32,3,3,0.015647749106089275,0.003023210167884827,0.0038255006074905396,0.004828363656997681,0.022060304880142212,0.035845857858657834,0.0028226375579833984,0.03929224610328674
A1_G,2,bracket_white/test/defective_painting/002.png,1,clean_defect,32x32,3,0,,,,,,,,
A1_G,2,bracket_white/test/defective_painting/002.png,1,boundary,32x32,3,3,0.015647749106089275,0.003023210167884827,0.0038255006074905396,0.004828363656997681,0.022060304880142212,0.035845857858657834,0.0028226375579833984,0.03929224610328674
A1_G,3,bracket_white/test/defective_painting/003.png,1,abnormal_normal,32x32,2,1022,0.011566080517498249,0.000748792290687561,0.003885425627231598,0.008588150143623352,0.015270739793777466,0.03405747413635254,0.0,0.09837031364440918
A1_G,3,bracket_white/test/defective_painting/003.png,1,defect,32x32,2,2,0.015372559428215027,0.0015372559428215027,0.007686279714107513,0.015372559428215027,0.02305883914232254,0.02920786291360855,0.0,0.030745118856430054
A1_G,3,bracket_white/test/defective_painting/003.png,1,clean_defect,32x32,2,0,,,,,,,,
