config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.016513101756572723,0.02047664113342762,0.18908542394638062,0.9999556107954546,0.03589414432644844,-0.03359473496675491,392,0.020341329276561737,-0.016363181173801422,44664
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.01769253797829151,0.021574627608060837,0.1698978841304779,0.9990234375,0.042464252561330795,-0.03999112546443939,392,0.021391285583376884,-0.017496831715106964,44664
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.01916368491947651,0.02260798029601574,0.1742236614227295,0.9995561079545454,0.04003126174211502,-0.037200383841991425,392,0.022455062717199326,-0.019005384296178818,44664
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.01600061170756817,0.019579662010073662,0.18908542394638062,0.9999778053977273,0.03322611376643181,-0.03107283264398575,392,0.019459888339042664,-0.015868326649069786,44664
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.016960881650447845,0.0202926192432642,0.1687839925289154,0.9988680752840909,0.039053745567798615,-0.03717070817947388,392,0.020127959549427032,-0.01678350754082203,44664
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.01828739233314991,0.02134237438440323,0.1742236614227295,0.9996448863636364,0.035860031843185425,-0.03280654177069664,392,0.021214958280324936,-0.018159963190555573,44664
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.05174035206437111,0.051903702318668365,0.24818763136863708,1.0,0.06362353265285492,-0.06342994421720505,392,0.051800843328237534,-0.051637765020132065,44664
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.051403749734163284,0.05159397050738335,0.22079044580459595,0.9988014914772727,0.0707068219780922,-0.07061987370252609,392,0.05142621695995331,-0.051235098391771317,44664
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.05393071100115776,0.054087962955236435,0.23981761932373047,0.9996448863636364,0.06012951210141182,-0.05991402268409729,392,0.054034944623708725,-0.053878191858530045,44664
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.014058378525078297,0.017584897577762604,0.13272452354431152,0.9999556107954546,0.0306173637509346,-0.0288661140948534,392,0.01747051626443863,-0.01392841525375843,44664
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.015105576254427433,0.01835685595870018,0.12203720957040787,0.9984685724431818,0.03553261235356331,-0.033786434680223465,392,0.01820610836148262,-0.014941620640456676,44664
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.015982847660779953,0.01906060241162777,0.12236492335796356,0.99951171875,0.031728509813547134,-0.029131699353456497,392,0.018949421122670174,-0.0158674456179142,44664
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.06580270081758499,0.06598460674285889,0.3152739405632019,1.0,0.08115467429161072,-0.08076023310422897,392,0.06585146486759186,-0.0656714141368866,44664
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.06487122178077698,0.06508792191743851,0.26603883504867554,0.9984019886363636,0.09039448946714401,-0.0902874618768692,392,0.0648658275604248,-0.06464814394712448,44664
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.06871214509010315,0.06889092922210693,0.31870442628860474,0.99951171875,0.0762719064950943,-0.07592865824699402,392,0.06882615387439728,-0.0686488077044487,44664
