method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9413083407467858,0.0687324287479294,0.6097074468085106,0.740616417133651,0.7460317460317459
S,0.9261537807045438,0.03252195973968236,0.47606382978723405,0.5899867870202363,0.7460317460317459
C,0.9258815353733552,0.00634455717183931,0.3537234042553191,0.5085654893188819,0.7460317460317459
A1_J,0.9488097546841576,0.023960818780287208,0.519281914893617,0.5918022387308345,0.7460317460317459
TRI_J,0.9399880603862112,0.022079526162292685,0.5305851063829787,0.6034249299329537,0.7460317460317459
BAL_J,0.94203564677186,0.015689174756826154,0.4893617021276596,0.5681578103290089,0.7460317460317459
DUP_J,0.9472595673259971,0.041431997456018506,0.5724734042553192,0.6698221103000068,0.7460317460317459
DUP_BAL_J,0.9488097546841576,0.023960818780287208,0.519281914893617,0.5918022387308345,0.7460317460317459
DUP_EXPECTED_J,0.9472595673259971,0.041431997456018506,0.5724734042553192,0.6698221103000068,0.7460317460317459
A1_L,0.9492402509960373,0.02106489957398875,0.535904255319149,0.608980640852785,0.7460317460317459
DUP_L,0.9476680796194262,0.03560181038897702,0.5611702127659575,0.6460635747202044,0.7460317460317459
TRI_L,0.9442868527013724,0.02108211905959078,0.5372340425531914,0.6155876010835165,0.7460317460317459
BAL_L,0.9455982206220346,0.015016700143524023,0.5126329787234043,0.5756870696290893,0.7460317460317459
