config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.006378567311912775,0.01092766597867012,0.13629138469696045,0.999768443943299,0.017595956102013588,-0.012559618800878525,14561,0.009782208129763603,-0.0053168064914643764,84767
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.018399594351649284,0.021012283861637115,0.15579965710639954,0.9991442493556701,0.029534803703427315,-0.027130695059895515,14561,0.019548309966921806,-0.016899794340133667,84767
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.018109560012817383,0.02095307968556881,0.2195027768611908,0.9991241140463918,0.027668941766023636,-0.024589557200670242,14561,0.019799454137682915,-0.01699644699692726,84767
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.018485398963093758,0.021330125629901886,0.18328744173049927,0.9990234375,0.026624582707881927,-0.02317938022315502,14561,0.020420661196112633,-0.017679085955023766,84767
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.006271385122090578,0.010336759500205517,0.13113299012184143,0.9997885792525774,0.017283594235777855,-0.01300590205937624,14561,0.009143455885350704,-0.00511455163359642,84767
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.01735098287463188,0.019685175269842148,0.15463052690029144,0.9990335051546392,0.027701715007424355,-0.025552742183208466,14561,0.018308119848370552,-0.015942109748721123,84767
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.017352068796753883,0.019821539521217346,0.16007156670093536,0.9988724226804123,0.026615021750330925,-0.02397720329463482,14561,0.01865457370877266,-0.016214020550251007,84767
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.01783188059926033,0.020233767107129097,0.18118172883987427,0.9988824903350515,0.025708656758069992,-0.022828740999102592,14561,0.01929330825805664,-0.01697353646159172,84767
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.015708360821008682,0.01715436577796936,0.18168821930885315,0.9999395940721649,0.024578135460615158,-0.023820139467716217,14561,0.015879135578870773,-0.014314946718513966,84767
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04703223332762718,0.047148704528808594,0.18595203757286072,0.9990033021907216,0.048414211720228195,-0.04829534515738487,14561,0.04693131893873215,-0.046815261244773865,84767
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.048279136419296265,0.04836893454194069,0.19703346490859985,0.9988019490979382,0.04772210121154785,-0.047560952603816986,14561,0.04848003759980202,-0.048402510583400726,84767
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.04855434224009514,0.04863470047712326,0.19993457198143005,0.9988724226804123,0.047453686594963074,-0.04732898622751236,14561,0.0488375723361969,-0.04876483231782913,84767
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.005924447439610958,0.009766008704900742,0.11776278167963028,0.9997281733247423,0.016205795109272003,-0.011981204152107239,14561,0.008659804239869118,-0.004884038120508194,84767
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.015084980987012386,0.017716072499752045,0.11956799030303955,0.9990033021907216,0.024939456954598427,-0.022288208827376366,14561,0.016475262120366096,-0.013847632333636284,84767
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.015226133167743683,0.017887955531477928,0.14869694411754608,0.9989428962628866,0.024426469579339027,-0.021732108667492867,14561,0.016764789819717407,-0.014108558185398579,84767
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.01540267001837492,0.01800939068198204,0.13080362975597382,0.9989227609536082,0.02328064665198326,-0.020206330344080925,14561,0.017103910446166992,-0.014577512629330158,84767
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.019812552258372307,0.021539339795708656,0.24094276130199432,0.9999194587628866,0.030524805188179016,-0.02965729311108589,14561,0.01999584585428238,-0.018121453002095222,84767
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.059599656611680984,0.059730011969804764,0.24466288089752197,0.9990637081185567,0.061103455722332,-0.060985907912254333,14561,0.059494081884622574,-0.0593615360558033,84767
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.06095220521092415,0.06105225905776024,0.2627112865447998,0.9989328286082474,0.05849376320838928,-0.05832025781273842,14561,0.06149175763130188,-0.06140432134270668,84767
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.06168403476476669,0.06176702678203583,0.2597039043903351,0.9989529639175257,0.059413500130176544,-0.05928841233253479,14561,0.06217130273580551,-0.06209554895758629,84767
