method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,tubes/test/anomalous/000.png,1536,1529,1523,6,0,1523,7,0,0,0.9954427083333334,0.9915364583333334,0.00390625,0.0
A1,image,1,tubes/test/anomalous/001.png,1408,1352,1340,13,1,1339,55,0,0,0.9602272727272727,0.9517045454545454,0.009232954545454546,0.0007102272727272727
A1,image,2,tubes/test/anomalous/002.png,1408,1354,1350,14,10,1340,44,0,0,0.9616477272727273,0.9588068181818182,0.009943181818181818,0.007102272727272727
A1,image,3,tubes/test/anomalous/003.png,1408,1341,1342,16,17,1325,50,0,0,0.9524147727272727,0.953125,0.011363636363636364,0.012073863636363636
A1,image,4,tubes/test/anomalous/004.png,1344,1295,1289,16,10,1279,39,0,0,0.9635416666666666,0.9590773809523809,0.011904761904761904,0.00744047619047619
A1,image,5,tubes/test/anomalous/005.png,1344,1335,1331,6,2,1329,7,0,0,0.9933035714285714,0.9903273809523809,0.004464285714285714,0.001488095238095238
A1,image,6,tubes/test/anomalous/006.png,1024,1002,998,8,4,994,18,0,0,0.978515625,0.974609375,0.0078125,0.00390625
A1,image,7,tubes/test/anomalous/007.png,1344,1216,1200,25,9,1191,119,0,0,0.9047619047619048,0.8928571428571429,0.018601190476190476,0.006696428571428571
A1,image,8,tubes/test/anomalous/008.png,1216,1142,1125,29,12,1113,62,0,0,0.9391447368421053,0.9251644736842105,0.023848684210526317,0.009868421052631578
A1,image,9,tubes/test/anomalous/009.png,1344,1301,1283,21,3,1280,40,0,0,0.9680059523809523,0.9546130952380952,0.015625,0.002232142857142857
A1,image,10,tubes/test/anomalous/010.png,1280,1262,1263,5,6,1257,12,0,0,0.9859375,0.98671875,0.00390625,0.0046875
A1,image,11,tubes/test/anomalous/011.png,1280,1267,1265,3,1,1264,12,0,0,0.98984375,0.98828125,0.00234375,0.00078125
A1,image,12,tubes/test/anomalous/012.png,1344,1335,1334,4,3,1331,6,0,0,0.9933035714285714,0.9925595238095238,0.002976190476190476,0.002232142857142857
A1,image,13,tubes/test/anomalous/013.png,576,551,561,2,12,549,13,0,0,0.9565972222222222,0.9739583333333334,0.003472222222222222,0.020833333333333332
A1,image,14,tubes/test/anomalous/014.png,704,703,700,3,0,700,1,0,0,0.9985795454545454,0.9943181818181818,0.004261363636363636,0.0
A1,image,15,tubes/test/anomalous/015.png,768,750,729,22,1,728,17,0,0,0.9765625,0.94921875,0.028645833333333332,0.0013020833333333333
A1,image,16,tubes/test/anomalous/016.png,768,734,719,22,7,712,27,0,0,0.9557291666666666,0.9361979166666666,0.028645833333333332,0.009114583333333334
A1,image,17,tubes/test/anomalous/017.png,576,549,539,13,3,536,24,0,0,0.953125,0.9357638888888888,0.022569444444444444,0.005208333333333333
A1,image,18,tubes/test/anomalous/018.png,576,552,545,9,2,543,22,0,0,0.9583333333333334,0.9461805555555556,0.015625,0.003472222222222222
A1,image,19,tubes/test/anomalous/019.png,1280,1159,1157,23,21,1136,100,0,0,0.90546875,0.90390625,0.01796875,0.01640625
A1,image,20,tubes/test/anomalous/020.png,1152,992,983,29,20,963,140,0,0,0.8611111111111112,0.8532986111111112,0.025173611111111112,0.017361111111111112
