config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.003618482733145356,0.006400671787559986,0.13295498490333557,0.7848795572916667,0.018569234758615494,-0.016411134973168373,156,0.006369695998728275,-0.0035859185736626387,61284
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.005638551898300648,0.009255542419850826,0.1473478078842163,0.999853515625,0.016059504821896553,-0.010718206875026226,156,0.009238223545253277,-0.005625621881335974,61284
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.005308528430759907,0.008784092031419277,0.13650479912757874,0.9375813802083334,0.016623426228761673,-0.013798320665955544,156,0.008764137513935566,-0.005286918021738529,61284
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.013788013719022274,0.015733737498521805,0.15404045581817627,0.9991373697916667,0.027096491307020187,-0.025214213877916336,156,0.015704812481999397,-0.013758928515017033,61284
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.014259384013712406,0.01614116132259369,0.1578194499015808,0.9990885416666667,0.029643401503562927,-0.02828189916908741,156,0.01610678993165493,-0.014223689213395119,61284
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.014529520645737648,0.016372928395867348,0.15561431646347046,0.9989908854166667,0.027562251314520836,-0.025270013138651848,156,0.016344444826245308,-0.014502179808914661,61284
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.00366188189946115,0.006172029301524162,0.1326698660850525,0.7920084635416667,0.02319968119263649,-0.021127283573150635,156,0.006128685083240271,-0.0036174235865473747,61284
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.005511865485459566,0.008813304826617241,0.1474890112876892,0.9998209635416667,0.025582753121852875,-0.022326450794935226,156,0.00877061765640974,-0.005469063762575388,61284
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.005296803545206785,0.00839775800704956,0.1182689368724823,0.9306803385416667,0.016709327697753906,-0.014754064381122589,156,0.00837660115212202,-0.00527272978797555,61284
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.01325664296746254,0.014972141943871975,0.15105444192886353,0.9995930989583334,0.03011384978890419,-0.028669018298387527,156,0.014933595433831215,-0.013217410072684288,61284
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.013654826208949089,0.015343199484050274,0.15557467937469482,0.9991536458333333,0.02997501753270626,-0.029109129682183266,156,0.015305954031646252,-0.01361548900604248,61284
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.013924543745815754,0.015547682531177998,0.15378214418888092,0.99892578125,0.032551564276218414,-0.031173963099718094,156,0.015504397451877594,-0.013880635611712933,61284
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.008271841332316399,0.009028555825352669,0.14130337536334991,0.7740234375,0.026047250255942345,-0.02449469268321991,156,0.008985234424471855,-0.008230545558035374,61284
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.014528759755194187,0.015432220883667469,0.1896544098854065,0.9999348958333333,0.050521910190582275,-0.0504988357424736,156,0.015342900529503822,-0.014437197707593441,61284
