dataset,seed,shot,category,group,method,pixel_ap,n_images,n_abnormal
btad,0,1,01,small,B,0.10149516307241929,35,14
btad,0,1,01,small,S,0.03240980367317485,35,14
btad,0,1,01,small,C,0.10551256712555285,35,14
btad,0,1,01,small,A1_J,0.15340249435653763,35,14
btad,0,1,01,small,TRI_J,0.09600320695656624,35,14
btad,0,1,01,small,BAL_J,0.1266965777941098,35,14
btad,0,1,01,small,DUP_J,0.14021670956375204,35,14
btad,0,1,01,small,DUP_BAL_J,0.15340249435653763,35,14
btad,0,1,01,small,DUP_EXPECTED_J,0.14021670956375204,35,14
btad,0,1,01,small,A1_L,0.15544238064768603,35,14
btad,0,1,01,small,DUP_L,0.13639247218700573,35,14
btad,0,1,01,small,TRI_L,0.1278544728769128,35,14
btad,0,1,01,small,BAL_L,0.14811027527868065,35,14
btad,0,1,01,large,B,0.5587901312447704,56,35
btad,0,1,01,large,S,0.4046122210326775,56,35
btad,0,1,01,large,C,0.5165909648143802,56,35
btad,0,1,01,large,A1_J,0.5890656642092931,56,35
btad,0,1,01,large,TRI_J,0.5626891211912957,56,35
btad,0,1,01,large,BAL_J,0.5746062042498356,56,35
btad,0,1,01,large,DUP_J,0.5781755436352172,56,35
btad,0,1,01,large,DUP_BAL_J,0.5890656642092931,56,35
btad,0,1,01,large,DUP_EXPECTED_J,0.5781755436352172,56,35
btad,0,1,01,large,A1_L,0.6005512343690327,56,35
btad,0,1,01,large,DUP_L,0.5863950586055338,56,35
btad,0,1,01,large,TRI_L,0.57440466925944,56,35
btad,0,1,01,large,BAL_L,0.5903782933163041,56,35
btad,0,1,02,tiny,B,0.1355017832314287,75,45
btad,0,1,02,tiny,S,0.06617634534365098,75,45
btad,0,1,02,tiny,C,0.0012324560239170142,75,45
btad,0,1,02,tiny,A1_J,0.13912274663695587,75,45
btad,0,1,02,tiny,TRI_J,0.09793036122699209,75,45
btad,0,1,02,tiny,BAL_J,0.09953284516935493,75,45
btad,0,1,02,tiny,DUP_J,0.13801997075450526,75,45
btad,0,1,02,tiny,DUP_BAL_J,0.13912274663695587,75,45
btad,0,1,02,tiny,DUP_EXPECTED_J,0.13801997075450526,75,45
