dataset,seed,shot,category,group,area_ratio_low,area_ratio_high,n_normal_images,n_abnormal_in_group,descriptive_only
btad,0,1,01,tiny,0.0,0.001,21,0,True
btad,0,1,01,small,0.001,0.01,21,14,False
btad,0,1,01,large,0.01,1.01,21,35,False
btad,0,1,02,tiny,0.0,0.001,30,45,False
btad,0,1,02,small,0.001,0.01,30,69,False
btad,0,1,02,large,0.01,1.01,30,85,False
btad,0,1,03,tiny,0.0,0.001,400,0,True
btad,0,1,03,small,0.001,0.01,400,5,True
btad,0,1,03,large,0.01,1.01,400,26,False
btad,0,2,01,tiny,0.0,0.001,21,0,True
btad,0,2,01,small,0.001,0.01,21,14,False
btad,0,2,01,large,0.01,1.01,21,35,False
btad,0,2,02,tiny,0.0,0.001,30,45,False
btad,0,2,02,small,0.001,0.01,30,69,False
btad,0,2,02,large,0.01,1.01,30,85,False
btad,0,2,03,tiny,0.0,0.001,400,0,True
btad,0,2,03,small,0.001,0.01,400,5,True
btad,0,2,03,large,0.01,1.01,400,26,False
btad,0,4,01,tiny,0.0,0.001,21,0,True
btad,0,4,01,small,0.001,0.01,21,14,False
btad,0,4,01,large,0.01,1.01,21,35,False
btad,0,4,02,tiny,0.0,0.001,30,45,False
btad,0,4,02,small,0.001,0.01,30,69,False
btad,0,4,02,large,0.01,1.01,30,85,False
btad,0,4,03,tiny,0.0,0.001,400,0,True
btad,0,4,03,small,0.001,0.01,400,5,True
btad,0,4,03,large,0.01,1.01,400,26,False
btad,0,8,01,tiny,0.0,0.001,21,0,True
btad,0,8,01,small,0.001,0.01,21,14,False
btad,0,8,01,large,0.01,1.01,21,35,False
btad,0,8,02,tiny,0.0,0.001,30,45,False
btad,0,8,02,small,0.001,0.01,30,69,False
btad,0,8,02,large,0.01,1.01,30,85,False
btad,0,8,03,tiny,0.0,0.001,400,0,True
btad,0,8,03,small,0.001,0.01,400,5,True
btad,0,8,03,large,0.01,1.01,400,26,False
btad,1,1,01,tiny,0.0,0.001,21,0,True
btad,1,1,01,small,0.001,0.01,21,14,False
btad,1,1,01,large,0.01,1.01,21,35,False
btad,1,1,02,tiny,0.0,0.001,30,45,False
btad,1,1,02,small,0.001,0.01,30,69,False
btad,1,1,02,large,0.01,1.01,30,85,False
btad,1,1,03,tiny,0.0,0.001,400,0,True
btad,1,1,03,small,0.001,0.01,400,5,True
btad,1,1,03,large,0.01,1.01,400,26,False
btad,1,2,01,tiny,0.0,0.001,21,0,True
btad,1,2,01,small,0.001,0.01,21,14,False
btad,1,2,01,large,0.01,1.01,21,35,False
btad,1,2,02,tiny,0.0,0.001,30,45,False
btad,1,2,02,small,0.001,0.01,30,69,False
btad,1,2,02,large,0.01,1.01,30,85,False
btad,1,2,03,tiny,0.0,0.001,400,0,True
btad,1,2,03,small,0.001,0.01,400,5,True
btad,1,2,03,large,0.01,1.01,400,26,False
btad,1,4,01,tiny,0.0,0.001,21,0,True
btad,1,4,01,small,0.001,0.01,21,14,False
btad,1,4,01,large,0.01,1.01,21,35,False
btad,1,4,02,tiny,0.0,0.001,30,45,False
btad,1,4,02,small,0.001,0.01,30,69,False
btad,1,4,02,large,0.01,1.01,30,85,False
btad,1,4,03,tiny,0.0,0.001,400,0,True
btad,1,4,03,small,0.001,0.01,400,5,True
btad,1,4,03,large,0.01,1.01,400,26,False
btad,1,8,01,tiny,0.0,0.001,21,0,True
btad,1,8,01,small,0.001,0.01,21,14,False
btad,1,8,01,large,0.01,1.01,21,35,False
btad,1,8,02,tiny,0.0,0.001,30,45,False
btad,1,8,02,small,0.001,0.01,30,69,False
btad,1,8,02,large,0.01,1.01,30,85,False
btad,1,8,03,tiny,0.0,0.001,400,0,True
btad,1,8,03,small,0.001,0.01,400,5,True
btad,1,8,03,large,0.01,1.01,400,26,False
mpdd,0,1,bracket_black,tiny,0.0,0.001,32,4,True
mpdd,0,1,bracket_black,small,0.001,0.01,32,43,False
mpdd,0,1,bracket_black,large,0.01,1.01,32,0,True
mpdd,0,1,bracket_brown,tiny,0.0,0.001,26,8,True
mpdd,0,1,bracket_brown,small,0.001,0.01,26,26,False
mpdd,0,1,bracket_brown,large,0.01,1.01,26,17,False
mpdd,0,1,bracket_white,tiny,0.0,0.001,30,25,False
mpdd,0,1,bracket_white,small,0.001,0.01,30,5,True
mpdd,0,1,bracket_white,large,0.01,1.01,30,0,True
