method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9620832279458726,0.5726960938073773,0.9093333333333333,0.9853601721548216,0.9569377990430622
S,0.9643610079514661,0.6359684490958563,0.9151666666666667,0.9862221250798902,0.9611650485436893
C,0.936036766576432,0.49086502621054795,0.8513333333333334,0.9768355894710875,0.9324009324009325
A1_J,0.9643045051372022,0.6079010978835377,0.9136666666666666,0.9862650457215522,0.9588377723970944
TRI_J,0.9663832958468469,0.6463365143697092,0.9129999999999999,0.9860532313813863,0.9537712895377128
BAL_J,0.9667088945837498,0.6501745603919296,0.9125,0.9861995452846618,0.9516908212560387
DUP_J,0.9635449300028447,0.5943756559682162,0.9065,0.9850771358944033,0.9542168674698797
DUP_BAL_J,0.9643045051372022,0.6079010978835377,0.9136666666666666,0.9862650457215522,0.9588377723970944
DUP_EXPECTED_J,0.9635449300028447,0.5943756559682162,0.9065,0.9850771358944033,0.9542168674698797
A1_L,0.9646453903820527,0.6131620509485178,0.9096666666666666,0.9854415228098228,0.954653937947494
DUP_L,0.9638377928074751,0.5990899811607756,0.9106666666666666,0.9855706115366076,0.9586374695863747
TRI_L,0.9666043803417932,0.6516236575637838,0.9143333333333334,0.9862651544184986,0.9544364508393286
BAL_L,0.9670235994112396,0.6560674935293318,0.9158333333333333,0.9865648997619997,0.9565217391304348
