config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.0067087807692587376,0.010300955735147,0.139512836933136,0.9999448029891305,0.008588154800236225,-0.005246470216661692,18498,0.010446947999298573,-0.0068334233947098255,217022
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.007176415994763374,0.01086446363478899,0.1365506649017334,0.9990871263586957,0.011162192560732365,-0.007475665770471096,18498,0.010839087888598442,-0.00715090986341238,217022
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.006870968732982874,0.010595261119306087,0.1333397626876831,0.9992697010869566,0.009866567328572273,-0.005560829304158688,18498,0.010657373815774918,-0.00698263943195343,217022
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.006844425108283758,0.00997605174779892,0.14369432628154755,0.9999150815217391,0.007441083900630474,-0.004747334867715836,18498,0.010192121379077435,-0.007023172918707132,217022
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.00740467244759202,0.010554734617471695,0.1396351158618927,0.9987984035326087,0.010281537659466267,-0.007460541557520628,18498,0.010578022338449955,-0.0073999096639454365,217022
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.007117643486708403,0.010296052321791649,0.13423241674900055,0.9994268002717391,0.009097406640648842,-0.005974430590867996,18498,0.010398220270872116,-0.007215084508061409,217022
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.027519384399056435,0.02775486744940281,0.1753493845462799,0.9999830163043478,0.0229655671864748,-0.022762196138501167,18498,0.028163086622953415,-0.02792486362159252,217022
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.02814016118645668,0.028335409238934517,0.20215389132499695,0.9986710258152174,0.0242810919880867,-0.024116968736052513,18498,0.02868097834289074,-0.028483077883720398,217022
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.026946721598505974,0.027218392118811607,0.20439548790454865,0.9993333899456521,0.02099260687828064,-0.02066904678940773,18498,0.02774905413389206,-0.0274818018078804,217022
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.005311803892254829,0.008837031200528145,0.10344095528125763,0.9998896059782608,0.006560526322573423,-0.003718663239851594,18498,0.009031071327626705,-0.005447595380246639,217022
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.005837714299559593,0.009327227249741554,0.10043099522590637,0.9984629755434783,0.009119411930441856,-0.0061737424694001675,18498,0.00934494100511074,-0.0058090719394385815,217022
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.00552383391186595,0.009047956205904484,0.11104308068752289,0.9994437839673913,0.008147768676280975,-0.005099775735288858,18498,0.009124684147536755,-0.005559978540986776,217022
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.03488629683852196,0.0351431779563427,0.22817188501358032,0.9999872622282608,0.029805593192577362,-0.029565831646323204,18498,0.03559812530875206,-0.03533978760242462,217022
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.035540711134672165,0.03574240580201149,0.2689378559589386,0.9982888926630434,0.031236639246344566,-0.03104042261838913,18498,0.03612646088004112,-0.03592429310083389,217022
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.034399695694446564,0.03469228371977806,0.2725273072719574,0.9993885869565218,0.027354612946510315,-0.026989810168743134,18498,0.035317715257406235,-0.0350312776863575,217022
