method,image_index,sample_id,label,image_max,pixel_ap
B,0,01/test/ko/0000.bmp,1,0.4598745107650757,0.7431434986072705
B,1,01/test/ko/0001.bmp,1,0.49002185463905334,0.5703490988139097
B,2,01/test/ko/0002.bmp,1,0.34852880239486694,0.36168705809974006
B,3,01/test/ko/0003.bmp,1,0.3537205755710602,0.4037433366603447
B,4,01/test/ko/0004.bmp,1,0.28499168157577515,0.22747011880793064
B,5,01/test/ko/0005.bmp,1,0.5130552053451538,0.3283036120900303
B,6,01/test/ko/0006.bmp,1,0.44205182790756226,0.7138249933751736
B,7,01/test/ko/0007.bmp,1,0.42880815267562866,0.3230238507142077
B,8,01/test/ko/0008.bmp,1,0.6112056970596313,0.6644018233774203
B,9,01/test/ko/0009.bmp,1,0.2654523551464081,0.018555310314437648
B,10,01/test/ko/0010.bmp,1,0.519535481929779,0.5041940760388921
B,11,01/test/ko/0011.bmp,1,0.14256036281585693,0.07239597495169793
B,12,01/test/ko/0012.bmp,1,0.34565263986587524,0.44010329236273543
B,13,01/test/ko/0013.bmp,1,0.2989121377468109,0.5677976057177246
B,14,01/test/ko/0014.bmp,1,0.496437668800354,0.6787142531590207
B,15,01/test/ko/0015.bmp,1,0.48140549659729004,0.6415457746694279
B,16,01/test/ko/0016.bmp,1,0.4531964361667633,0.7772771970165013
B,17,01/test/ko/0017.bmp,1,0.3095923066139221,0.39230804502763367
B,18,01/test/ko/0018.bmp,1,0.32339486479759216,0.3205508866391678
B,19,01/test/ko/0019.bmp,1,0.276424765586853,0.575092815285952
B,20,01/test/ko/0020.bmp,1,0.31293582916259766,0.24329815368882177
B,21,01/test/ko/0021.bmp,1,0.1879737377166748,0.02331215892946708
B,22,01/test/ko/0022.bmp,1,0.45945292711257935,0.4905282073204473
B,23,01/test/ko/0023.bmp,1,0.32964855432510376,0.4696157387003531
B,24,01/test/ko/0024.bmp,1,0.5977239012718201,0.6880735080077186
B,25,01/test/ko/0025.bmp,1,0.328564316034317,0.11675529321216854
B,26,01/test/ko/0026.bmp,1,0.3171183168888092,0.6627124682931547
