dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
btad,1,2,02,B,1,0.9588598561443008,0.5404761993620046,0.8971666666666668,0.9837909063328332
btad,1,2,02,S,1,0.9611232824311189,0.6144114951459674,0.9223333333333333,0.9877108146410691
btad,1,2,02,C,1,0.940376860486538,0.5055578365810204,0.811,0.9680473363547518
btad,1,2,02,A1_J,1,0.9615572198882778,0.5769919904501649,0.9011666666666667,0.9848430754883667
btad,1,2,02,TRI_J,1,0.9633734804369933,0.6202209424988826,0.9206666666666666,0.9879130476222691
btad,1,2,02,BAL_J,1,0.9641304683409606,0.6270352410781301,0.9203333333333332,0.9878750628124608
btad,1,2,02,DUP_J,1,0.960491185661438,0.5606455273811746,0.8933333333333333,0.9835361538652416
btad,1,2,02,DUP_BAL_J,1,0.9615572198882778,0.5769919904501649,0.9011666666666667,0.9848430754883667
btad,1,2,02,DUP_EXPECTED_J,1,0.960491185661438,0.5606455273811746,0.8933333333333333,0.9835361538652416
btad,1,2,02,A1_L,1,0.9623484215702985,0.5885889007288817,0.9023333333333333,0.984734556749161
btad,1,2,02,DUP_L,1,0.9611360794546315,0.5700444321301013,0.9005000000000001,0.9843351105407324
btad,1,2,02,TRI_L,1,0.964001705005726,0.6283445723458312,0.9251666666666665,0.9882059649822643
btad,1,2,02,BAL_L,1,0.9648151474503033,0.6361624144291218,0.9246666666666666,0.9881612612499493
