dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mpdd,0,1,tubes,B,1,0.9822681281375449,0.6946048528880219,0.9325181159420289,0.9747606302963413
mpdd,0,1,tubes,S,1,0.9744479499582912,0.5683258543621723,0.9388586956521738,0.9735273442443512
mpdd,0,1,tubes,C,1,0.9711351407579409,0.47055204582819193,0.8858695652173914,0.9469651664340161
mpdd,0,1,tubes,A1_J,1,0.9856625063006613,0.7250988505301819,0.9406702898550725,0.9773282124774338
mpdd,0,1,tubes,TRI_J,1,0.9829337377678489,0.6849491395983516,0.9433876811594204,0.9776525767930572
mpdd,0,1,tubes,BAL_J,1,0.9836967734427045,0.6954457854066325,0.9538043478260869,0.9811857113837922
mpdd,0,1,tubes,DUP_J,1,0.984768993700844,0.7143863097762707,0.9334239130434783,0.9744726662297845
mpdd,0,1,tubes,DUP_BAL_J,1,0.9856625063006613,0.7250988505301819,0.9406702898550725,0.9773282124774338
mpdd,0,1,tubes,DUP_EXPECTED_J,1,0.984768993700844,0.7143863097762707,0.9334239130434783,0.9744726662297845
mpdd,0,1,tubes,A1_L,1,0.9879381184767588,0.7340476670029717,0.9375,0.9771631558003023
mpdd,0,1,tubes,DUP_L,1,0.9861219883440248,0.7178834294916421,0.9325181159420289,0.9751915824224369
mpdd,0,1,tubes,TRI_L,1,0.9862454194614492,0.6964135871521293,0.9492753623188406,0.9800588208734974
mpdd,0,1,tubes,BAL_L,1,0.9878260477970496,0.7126912991633001,0.9556159420289856,0.9827894579152617
