dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mpdd,1,2,bracket_white,B,1,0.9903791056397327,0.036676994278749306,0.7377777777777779,0.7797227246589291
mpdd,1,2,bracket_white,S,1,0.9910506823361478,0.03671332709223324,0.6844444444444444,0.6597968429616021
mpdd,1,2,bracket_white,C,1,0.9802310376717333,0.02381128583706102,0.7155555555555555,0.6475108419416292
mpdd,1,2,bracket_white,A1_J,1,0.9921258587302016,0.05801595888644606,0.7944444444444445,0.8317536405052649
mpdd,1,2,bracket_white,TRI_J,1,0.9924778607582689,0.04624122588465725,0.76,0.8051159510302497
mpdd,1,2,bracket_white,BAL_J,1,0.9930136796465615,0.05378225866252481,0.7677777777777778,0.7673266257316618
mpdd,1,2,bracket_white,DUP_J,1,0.9914650785267342,0.04588399784087831,0.7677777777777778,0.8190686900758906
mpdd,1,2,bracket_white,DUP_BAL_J,1,0.9921258587302016,0.05801595888644606,0.7944444444444445,0.8317536405052649
mpdd,1,2,bracket_white,DUP_EXPECTED_J,1,0.9914650785267342,0.04588399784087831,0.7677777777777778,0.8190686900758906
mpdd,1,2,bracket_white,A1_L,1,0.992278239466945,0.06454130827488963,0.7822222222222223,0.8256480089653038
mpdd,1,2,bracket_white,DUP_L,1,0.9917881957993812,0.05374911495989582,0.768888888888889,0.8114318142583299
mpdd,1,2,bracket_white,TRI_L,1,0.9930346204204907,0.062499458353200386,0.7911111111111112,0.8391234956171288
mpdd,1,2,bracket_white,BAL_L,1,0.9931642518467912,0.06598289823420017,0.7811111111111112,0.8032111831272415
