dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mpdd,1,2,metal_plate,B,1,0.9529619517506566,0.7910205597611906,0.9956663055254605,0.9984148917167269
mpdd,1,2,metal_plate,S,1,0.9699716060014927,0.8582706083846514,1.0,1.0
mpdd,1,2,metal_plate,C,1,0.9889848632724849,0.9328038937068772,1.0,1.0
mpdd,1,2,metal_plate,A1_J,1,0.9774469208552978,0.8691066732859657,1.0,1.0
mpdd,1,2,metal_plate,TRI_J,1,0.9758987287631203,0.8705266370912323,1.0,1.0
mpdd,1,2,metal_plate,BAL_J,1,0.981453592393679,0.8924102146326167,1.0,1.0
mpdd,1,2,metal_plate,DUP_J,1,0.9704459923730328,0.841592457383502,0.9983748645720477,0.9994048012645513
mpdd,1,2,metal_plate,DUP_BAL_J,1,0.9774469208552978,0.8691066732859657,1.0,1.0
mpdd,1,2,metal_plate,DUP_EXPECTED_J,1,0.9704459923730328,0.841592457383502,0.9983748645720477,0.9994048012645513
mpdd,1,2,metal_plate,A1_L,1,0.9789769593224619,0.8696903077526356,1.0,1.0
mpdd,1,2,metal_plate,DUP_L,1,0.9710602494388088,0.8409176056522524,1.0,1.0
mpdd,1,2,metal_plate,TRI_L,1,0.9787166057123996,0.8759237757287567,1.0,1.0
mpdd,1,2,metal_plate,BAL_L,1,0.98421178001642,0.8974139103874954,1.0,1.0
