dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mpdd,1,4,bracket_black,B,1,0.9489855626041249,0.06164854860991767,0.5452127659574468,0.6609442317239178
mpdd,1,4,bracket_black,S,1,0.935292121607987,0.07101975116998706,0.46609042553191493,0.6585376061425836
mpdd,1,4,bracket_black,C,1,0.9606502782853891,0.02610673549308397,0.5525265957446808,0.6350364614076016
mpdd,1,4,bracket_black,A1_J,1,0.961843850895361,0.09637862795393629,0.6223404255319149,0.7379091656495027
mpdd,1,4,bracket_black,TRI_J,1,0.9545610580911814,0.08627477747074419,0.5492021276595744,0.7093356115086394
mpdd,1,4,bracket_black,BAL_J,1,0.9591652986219381,0.09206344101575786,0.5784574468085106,0.7228027465936446
mpdd,1,4,bracket_black,DUP_J,1,0.9578369115902415,0.09280722868551255,0.5837765957446809,0.7144772480089435
mpdd,1,4,bracket_black,DUP_BAL_J,1,0.961843850895361,0.09637862795393629,0.6223404255319149,0.7379091656495027
mpdd,1,4,bracket_black,DUP_EXPECTED_J,1,0.9578369115902415,0.09280722868551255,0.5837765957446809,0.7144772480089435
mpdd,1,4,bracket_black,A1_L,1,0.9645670213902282,0.09347174522019819,0.6176861702127661,0.7348982228327157
mpdd,1,4,bracket_black,DUP_L,1,0.9593994322980475,0.08832075462866618,0.5851063829787234,0.7158749363182331
mpdd,1,4,bracket_black,TRI_L,1,0.9592419188967017,0.08925694266314733,0.5884308510638298,0.7360629382937874
mpdd,1,4,bracket_black,BAL_L,1,0.9638938836928332,0.0931148882197989,0.608377659574468,0.7462926971342849
