dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mpdd,1,4,connector,B,1,0.9795544178527796,0.400200656662571,0.8166666666666667,0.6438657916853405
mpdd,1,4,connector,S,1,0.9817595549266557,0.35144118423542253,0.8119047619047619,0.6375939426193739
mpdd,1,4,connector,C,1,0.9693734489775134,0.18065506963508043,0.8023809523809524,0.6896258986686461
mpdd,1,4,connector,A1_J,1,0.9800803014206616,0.42976586737505734,0.8047619047619048,0.6175032594929764
mpdd,1,4,connector,TRI_J,1,0.9796891719717045,0.3986927692107884,0.8095238095238095,0.5892961147162828
mpdd,1,4,connector,BAL_J,1,0.97983174913676,0.40375788905206866,0.8095238095238095,0.6108214204827621
mpdd,1,4,connector,DUP_J,1,0.9798659434010012,0.4212657566655144,0.8142857142857143,0.6434528059782372
mpdd,1,4,connector,DUP_BAL_J,1,0.9800803014206616,0.42976586737505734,0.8047619047619048,0.6175032594929764
mpdd,1,4,connector,DUP_EXPECTED_J,1,0.9798659434010012,0.4212657566655144,0.8142857142857143,0.6434528059782372
mpdd,1,4,connector,A1_L,1,0.9836665964728913,0.4680386661213972,0.8571428571428572,0.7128087997559469
mpdd,1,4,connector,DUP_L,1,0.9823534617087959,0.4404049867658781,0.838095238095238,0.6781427052479684
mpdd,1,4,connector,TRI_L,1,0.9845463709134891,0.45721827298854095,0.8571428571428571,0.704748794868211
mpdd,1,4,connector,BAL_L,1,0.9851681587844691,0.4777170853814583,0.8690476190476191,0.7397631712481336
