dataset,category,selection,sample_id,image_index,A1_L_minus_A1_J_patch_mean,TRI_L_minus_TRI_J_patch_mean,rule,seed,shot
mpdd,bracket_black,positive,bracket_black/test/scratches/016.png,60,-0.009010082110762596,-0.012187840417027473,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,bracket_black,negative,bracket_black/test/scratches/030.png,74,-0.013700305484235287,-0.016281448304653168,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,bracket_brown,positive,bracket_brown/test/parts_mismatch/019.png,62,-0.007701626978814602,-0.01073548011481762,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,bracket_brown,negative,bracket_brown/test/parts_mismatch/011.png,54,-0.01220115926116705,-0.014842989854514599,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,bracket_white,positive,bracket_white/test/scratches/014.png,57,-0.008939411491155624,-0.011516360566020012,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,bracket_white,negative,bracket_white/test/defective_painting/012.png,12,-0.011514890938997269,-0.015811176970601082,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,connector,positive,connector/test/parts_mismatch/010.png,40,-0.009502417407929897,-0.012175647541880608,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,connector,negative,connector/test/parts_mismatch/008.png,38,-0.011790969409048557,-0.01495407521724701,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,metal_plate,positive,metal_plate/test/major_rust/000.png,26,-0.01021620724350214,-0.0130865927785635,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,metal_plate,negative,metal_plate/test/scratches/000.png,40,-0.01374795287847519,-0.016997961327433586,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,tubes,positive,tubes/test/anomalous/008.png,8,-0.007813158445060253,-0.010694876313209534,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
mpdd,tubes,negative,tubes/test/anomalous/063.png,63,-0.010797902010381222,-0.014115061610937119,for each dataset/category and construction (A1/TRI/BAL) pick the abnormal image with the largest positive and the largest negative (A1_L - A1_J) patch-mean difference; ties broken by the smaller sample id. Rule fixed before rendering.,0,4
