dataset,seed,shot,method,category,pixel_ap,pixel_auroc,image_ap,image_auroc
mpdd,0,1,B,bracket_black,0.02069829275784876,0.9399051492309125,0.587572991250366,0.4341755319148936
mpdd,0,1,B,bracket_brown,0.03713649864887991,0.8964985508359131,0.6761955522801085,0.4856711915535445
mpdd,0,1,B,bracket_white,0.07165047828223282,0.9916050513343316,0.6461388369463097,0.7044444444444444
mpdd,0,1,B,connector,0.08788632581251996,0.9425367392599953,0.3275827661220548,0.5190476190476191
mpdd,0,1,B,metal_plate,0.7632616998528763,0.9546154372884162,0.9912933697120341,0.9745395449620802
mpdd,0,1,B,tubes,0.6959782378627427,0.9826653689379142,0.9747606302963416,0.9325181159420289
mpdd,0,1,S,bracket_black,0.024394537788906445,0.9324283251396605,0.5996639671076648,0.4428191489361702
mpdd,0,1,S,bracket_brown,0.04568812717841718,0.9308236999000872,0.64885699669327,0.43137254901960786
mpdd,0,1,S,bracket_white,0.09433514780956422,0.9912126681180972,0.6783522798343197,0.6633333333333333
mpdd,0,1,S,connector,0.09832364003884317,0.9467823100596665,0.33858443849590764,0.5166666666666667
mpdd,0,1,S,metal_plate,0.8471733732152011,0.97037759808298,0.9974692899917978,0.9929577464788732
mpdd,0,1,S,tubes,0.571517915805935,0.975021410905117,0.9735273442443515,0.938858695652174
mpdd,0,1,C,bracket_black,0.004553238889227779,0.9054984118201836,0.5317044725621649,0.375
mpdd,0,1,C,bracket_brown,0.030702615235043237,0.926426994213597,0.7163959286518559,0.5671191553544495
mpdd,0,1,C,bracket_white,0.03802541076010374,0.9837390906277896,0.7240147423149415,0.7355555555555555
mpdd,0,1,C,connector,0.09826066466698684,0.9606526588937702,0.7284271647720593,0.8261904761904761
mpdd,0,1,C,metal_plate,0.9256255821886213,0.9876175016264089,0.9992228867880035,0.9978331527627302
mpdd,0,1,C,tubes,0.4735522170665953,0.9714913894571773,0.9469651664340163,0.8858695652173914
mpdd,0,1,A1_J,bracket_black,0.010484232161356624,0.9419427536838594,0.5621490941122232,0.4275265957446808
mpdd,0,1,A1_J,bracket_brown,0.03444572220086962,0.9098312844491359,0.739994946976059,0.5603318250377074
mpdd,0,1,A1_J,bracket_white,0.08474999424338443,0.9942810208045932,0.7564372591813036,0.7855555555555556
mpdd,0,1,A1_J,connector,0.12611134410447375,0.9488033127526325,0.4311063420475626,0.5714285714285714
mpdd,0,1,A1_J,metal_plate,0.8713213686815223,0.9769343355764423,1.0,1.0
mpdd,0,1,A1_J,tubes,0.7281610474270273,0.9862483457378635,0.9773282124774341,0.9406702898550725
mpdd,0,1,TRI_J,bracket_black,0.011113081779316249,0.9385791988609461,0.5558871887757308,0.41555851063829785
mpdd,0,1,TRI_J,bracket_brown,0.0401211568077272,0.9224451699273264,0.7021940789305716,0.502262443438914
mpdd,0,1,TRI_J,bracket_white,0.10184357352473074,0.993440994353959,0.7446100036173315,0.7377777777777778
mpdd,0,1,TRI_J,connector,0.11641767649667392,0.9456431507168143,0.34108247350947124,0.5357142857142857
mpdd,0,1,TRI_J,metal_plate,0.8639407591854099,0.9749350525830932,1.0,1.0
mpdd,0,1,TRI_J,tubes,0.688081770721776,0.9835000548313979,0.9776525767930575,0.9433876811594203
mpdd,0,1,BAL_J,bracket_black,0.009446305967508218,0.9378795298876381,0.5566918430913822,0.4109042553191489
mpdd,0,1,BAL_J,bracket_brown,0.037867665178194114,0.9237342554929918,0.7315514228853145,0.5354449472096531
mpdd,0,1,BAL_J,bracket_white,0.09708575137891733,0.9945217171253269,0.777241083563478,0.7755555555555556
mpdd,0,1,BAL_J,connector,0.13403115379585953,0.9492997162808835,0.4259526591930181,0.5595238095238095
mpdd,0,1,BAL_J,metal_plate,0.8926238805186079,0.9808534847600965,1.0,1.0
mpdd,0,1,BAL_J,tubes,0.69871130399482,0.9843046993620403,0.9811857113837925,0.9538043478260869
mpdd,0,1,DUP_J,bracket_black,0.012929528110801497,0.9424884496476343,0.5640699187407187,0.43683510638297873
