grid,stride,dataset,kind,name,n_conditions,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,ci95_excludes_zero,ci9875_excludes_zero
stride1,1,mpdd,interaction,I_TRI,12,0.007853337788277931,0.005426749643713519,0.01058321097859069,0.004818150446181024,0.011433607495236602,True,True
stride1,1,mpdd,interaction,I_BAL,12,0.006074391315004741,0.003971334699688756,0.008509984523553107,0.0034208114493164588,0.009024428626652417,True,True
stride1,1,mpdd,effect,E_TRI_J,12,-0.004712342849440985,-0.01077865158687327,0.0014132778540832342,-0.013845653445314927,0.0026581843833772315,False,False
stride1,1,mpdd,effect,E_TRI_L,12,0.003140994938836947,-0.0028252572874331748,0.009370996186472967,-0.0050792295519721635,0.010311964978715608,False,False
stride1,1,mpdd,effect,E_BAL_J,12,-0.007354967727104374,-0.012876230691468543,-0.0017090538558232403,-0.01519196449304257,-0.00038914661218519126,True,True
stride1,1,mpdd,effect,E_BAL_L,12,-0.001280576412099633,-0.006848319362652798,0.004104133852032504,-0.009034828061813603,0.005693597850838812,False,False
stride1,1,mpdd,effect,M_A1,12,0.006949495194468995,0.004154715863946803,0.010316932435923177,0.0034909227868053115,0.011415114587237905,True,True
stride1,1,btad,interaction,I_TRI,8,-0.00016870154852920155,-0.0018569150509052611,0.001928875841082695,-0.0023242256290489337,0.0024013343930073647,False,False
stride1,1,btad,interaction,I_BAL,8,-0.0008644871296586061,-0.002591550421208182,0.0010754647648639332,-0.00298437927932347,0.0018047273307955764,False,False
stride1,1,btad,effect,E_TRI_J,8,0.015114812781837614,0.005975937204433885,0.02410710566446068,8.637939128850516e-05,0.026202259073886618,True,True
stride1,1,btad,effect,E_TRI_L,8,0.01494611123330841,0.005606228948680102,0.024296392850724834,0.0003992087540606394,0.02664262699713605,True,True
stride1,1,btad,effect,E_BAL_J,8,0.00946874593931328,0.0011951009032434882,0.0176125012755888,-0.003542538936364539,0.018700943695709214,True,False
stride1,1,btad,effect,E_BAL_L,8,0.008604258809654673,0.0001583106501452204,0.0169267296508141,-0.003269509920455971,0.018342238264460395,True,False
stride1,1,btad,effect,M_A1,8,0.008407306994805647,0.006629578022156958,0.010882705187841566,0.006291924259174384,0.011560783674879367,True,True
