dataset,seed,shot,category,method,pixel_ap
mpdd,0,1,connector,B,0.086257157636181567
mpdd,0,1,connector,S,0.096527052088810725
mpdd,0,1,connector,C,0.097766829169908934
mpdd,0,1,connector,A1_J,0.12482894359439312
mpdd,0,1,connector,TRI_J,0.11425534450242834
mpdd,0,1,connector,BAL_J,0.13539892019246128
mpdd,0,1,connector,DUP_J,0.10171131087980639
mpdd,0,1,connector,DUP_BAL_J,0.12482894359439312
mpdd,0,1,connector,DUP_EXPECTED_J,0.10171131087980639
mpdd,0,1,connector,A1_L,0.12970014186850304
mpdd,0,1,connector,DUP_L,0.10554176103741832
mpdd,0,1,connector,TRI_L,0.12538137576257802
mpdd,0,1,connector,BAL_L,0.14811011720727871
